Time (s) Monitor Run,Position (cm) Monitor Run,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
0,0.000610198,,
0.025,0.003444919,0.06,
0.05,0.003361435,-0.03,-2.01
0.075,0,-0.05,-0.34
0.1,0,-0.02,0.48
0.125,0,0,0.45
0.15,0,0,0.15
0.175,0,0,0
0.2,0,0,0
0.225,0,0,0
0.25,0,0,0
0.275,0,0,0
0.3,0,0,0
0.325,0,0,0
0.35,0,0,0
0.375,0,0,0
0.4,0,0,0
0.425,0,0,0
0.45,0,0,0
0.475,0,0,0
0.5,0,0,0
0.525,0,0,0
0.55,0,0,0
0.575,0,0,0
0.6,0,0,0
0.625,0,0,0
0.65,0,0,0
0.675,0,0,0
0.7,0,0,0
0.725,0,0,0
0.75,0,0,0
0.775,0,0,0
0.8,0,0,0
0.825,0,0,0
0.85,0,0,0
0.875,0,0,0
0.9,0,0,0
0.925,0,0,0
0.95,0,0,0
0.975,0,0,0
1,0,0,0
1.025,0,0,0
1.05,0,0,0
1.075,0,0,0
1.1,0,0,0
1.125,0,0,0
1.15,0,0,0
1.175,0,0,0
1.2,0,0,0
1.225,0,0,0
1.25,0,0,0
1.275,0,0,0
1.3,0,0,0
1.325,0,0,0
1.35,0,0,0
1.375,0,0,0
1.4,0,0,0
1.425,0,0,0
1.45,0,0,0
1.475,0,0,0
1.5,0,0,0
1.525,0,0,0
1.55,0,0,0
1.575,0,0,0
1.6,0,0,0
1.625,0,0,0
1.65,0,0,0
1.675,0,0,0
1.7,0,0,0
1.725,0,0,0
1.75,0,0,0
1.775,0,0,0
1.8,0,0,0
1.825,0,0,0
1.85,0,0,0
1.875,0,0,0
1.9,0,0,0
1.925,0,0,0
1.95,0,0,0
1.975,0,0,0
2,0,0,0
2.025,0,0,0
2.05,0,0,0
2.075,0,0,0
2.1,0,0,0
2.125,0,0,0
2.15,0,0,0
2.175,0,0,0
2.2,0,0,0
2.225,0,0,0
2.25,0,0,0
2.275,0,0,0
2.3,0,0,0
2.325,0,0,0
2.35,0,0,0.06
2.375,0,-2.59E-04,0.26
2.4,0,0.01,0.5
2.425,-0.000038797,0.03,0.47
2.45,0.001322355,0.04,-0.1
2.475,0.003268,0.03,-0.87
2.5,0.003272916,-0.01,-1.13
2.525,0.00318937,-0.05,-0.62
2.55,-0.000172,-0.05,0.2
2.575,-0.000172,-0.02,0.58
2.6,-0.000167153,0,0.44
2.625,-0.000344,0,0.18
2.65,-0.000344,-3.23E-05,0.04
2.675,-0.000348843,0,0.01
2.7,-0.000167153,3.23E-05,-0.02
2.725,-0.000344,0,-0.01
2.75,-0.000344,0,0.03
2.775,-0.000344,0,0.05
2.8,-0.000348843,0,0.02
2.825,-0.000172,0,-0.01
2.85,-0.000172,0,-0.04
2.875,-0.000172,3.23E-05,-0.06
2.9,-0.000172,0,-0.12
2.925,-0.000167153,0,-0.05
2.95,-0.000334313,-0.01,0.2
2.975,-0.000668652,0,0.38
3,-0.001453141,0.02,0.09
3.025,0.001390635,0.02,-0.57
3.05,0.000894078,-0.01,-1.08
3.075,-0.000305246,-0.05,-1.21
3.1,-0.001676648,-0.07,-0.99
3.125,-0.003148314,-0.1,-0.52
3.15,-0.007511598,-0.11,0.14
3.175,-0.009580753,-0.09,0.66
3.2,-0.011487035,-0.06,0.79
3.225,-0.012877036,-0.05,0.57
3.25,-0.013746274,-0.03,0.2
3.275,-0.014248607,-0.04,-0.04
3.3,-0.01527164,-0.04,0.2
3.325,-0.016652379,-0.04,1.04
3.35,-0.017888,0,2.07
3.375,-0.018004748,0.07,2.76
3.4,-0.013512183,0.15,2.84
3.425,-0.009985377,0.22,2.21
3.45,-0.003335185,0.28,0.67
3.475,0.005285931,0.28,-1.8
3.5,0.013005563,0.2,-4.4
3.525,0.015292531,0.04,-5.85
3.55,0.016077425,-0.14,-5.28
3.575,0.007626134,-0.26,-2.76
3.6,-0.000302849,-0.3,0.74
3.625,-0.007957336,-0.22,4
3.65,-0.012718808,-0.07,5.71
3.675,-0.013273737,0.11,5.1
3.7,-0.005707659,0.23,2.61
3.725,0.001764972,0.24,-0.25
3.75,0.006214759,0.19,-2.34
3.775,0.011493518,0.11,-3.69
3.8,0.012561102,0.01,-4.37
3.825,0.012577874,-0.13,-4
3.85,0.00606178,-0.23,-2.07
3.875,-0.001384028,-0.25,0.95
3.9,-0.007264257,-0.18,3.81
3.925,-0.012281072,-0.03,5.26
3.95,-0.009790256,0.13,4.5
3.975,-0.00398437,0.23,1.94
4,0.003272861,0.23,-1.1
4.025,0.009217513,0.15,-3.32
4.05,0.011741767,0.04,-4.18
4.075,0.010208655,-0.08,-3.81
4.1,0.008284644,-0.17,-2.44
4.125,0.001379608,-0.21,-0.24
4.15,-0.004897704,-0.19,2.25
4.175,-0.008190388,-0.09,4.13
4.2,-0.010789135,0.05,4.51
4.225,-0.006194881,0.17,2.99
4.25,0.000169264,0.23,0.22
4.275,0.006421487,0.18,-2.56
4.3,0.01049706,0.07,-4.09
4.325,0.010426237,-0.06,-3.95
4.35,0.006872599,-0.15,-2.61
4.375,0.001134335,-0.19,-0.61
4.4,-0.002387894,-0.19,1.58
4.425,-0.009436692,-0.11,3.49
4.45,-0.010389639,0.01,4.2
4.475,-0.007880784,0.14,3.25
4.5,-0.002747841,0.2,1.06
4.525,0.003317081,0.19,-1.38
4.55,0.007684955,0.12,-3.18
4.575,0.009672351,0.01,-3.91
4.6,0.008391492,-0.1,-3.16
4.625,0.003774554,-0.18,-1.09
4.65,-0.001924455,-0.17,1.25
4.675,-0.007075544,-0.09,2.72
4.7,-0.00621563,-0.01,2.98
4.725,-0.005355716,0.06,2.59
4.75,-0.004624253,0.12,1.71
4.775,0.000885956,0.17,0.05
4.8,0.006107467,0.14,-2.02
4.825,0.009126066,0.05,-3.48
4.85,0.008867527,-0.06,-3.51
4.875,0.005652904,-0.15,-2.05
4.9,0.000489806,-0.18,0.29
4.925,-0.00472088,-0.13,2.41
4.95,-0.008326258,-0.03,3.25
4.975,-0.005751766,0.06,2.71
5,-0.0029767,0.11,1.59
5.025,-0.001162333,0.13,0.36
5.05,0.003498831,0.14,-1.1
5.075,0.007537993,0.09,-2.57
5.1,0.008655259,-0.01,-3.3
5.125,0.006832676,-0.11,-2.7
5.15,0.002550141,-0.16,-0.87
5.175,-0.002464773,-0.16,1.46
5.2,-0.006660828,-0.08,3.13
5.225,-0.008549665,0.03,3.26
5.25,-0.004060922,0.11,2.01
5.275,-0.00022046,0.13,0.46
5.3,0.001430904,0.12,-0.79
5.325,0.005616447,0.09,-1.87
5.35,0.007755017,0.03,-2.7
5.375,0.00731394,-0.06,-2.74
5.4,0.004256324,-0.13,-1.66
5.425,-0.000222851,-0.16,0.27
5.45,-0.004572616,-0.13,2.29
5.475,-0.007219294,-0.03,3.36
5.5,-0.007555776,0.08,2.82
5.525,-0.001663611,0.14,1.06
5.55,0.002550592,0.13,-0.64
5.575,0.003528344,0.08,-1.65
5.6,0.006521058,0.04,-2.23
5.625,0.007106918,-0.02,-2.44
5.65,0.005269027,-0.1,-1.94
5.675,0.001493126,-0.14,-0.57
5.7,-0.002660854,-0.13,1.12
5.725,-0.005996348,-0.08,2.39
5.75,-0.006917696,0,2.79
5.775,-0.005594032,0.08,2.21
5.8,-0.002351281,0.13,0.86
5.825,0.001799159,0.13,-0.77
5.85,0.005120378,0.09,-2.1
5.875,0.006560908,0.01,-2.68
5.9,0.005760415,-0.07,-2.3
5.925,0.002864877,-0.12,-1.12
5.95,-0.001112265,-0.13,0.44
5.975,-0.004419618,-0.09,1.83
6,-0.006378169,-0.03,2.55
6.025,-0.00591898,0.05,2.35
6.05,-0.003368444,0.11,1.33
6.075,0.000246893,0.13,-0.15
6.1,0.003724901,0.1,-1.55
6.125,0.005848,0.04,-2.38
6.15,0.005912592,-0.04,-2.35
6.175,0.003705566,-0.1,-1.48
6.2,0.000441184,-0.12,-0.11
6.225,-0.003033734,-0.1,1.27
