"Time (s) Run #1","Position (m) Run #1"
0.00000,0.00130
0.02500,0.00455
0.05000,0.00137
0.07500,0.00154
0.10000,0.00172
0.12500,0.00172
0.15000,0.00155
0.17500,0.00138
0.20000,0.00121
0.22500,0.00104
0.25000,6.92417E-4
0.27500,5.24827E-4
0.30000,1.80814E-4
0.32500,-1.67600E-4
0.35000,-3.39604E-4
0.37500,-5.11607E-4
0.40000,-6.83610E-4
0.42500,-8.60000E-4
0.45000,-8.55614E-4
0.47500,-0.00104
0.50000,-8.60000E-4
0.52500,-8.60000E-4
0.55000,-8.64386E-4
0.57500,-6.92389E-4
0.60000,-5.20393E-4
0.62500,-3.48396E-4
0.65000,-1.76400E-4
0.67500,-4.40311E-6
0.70000,1.72000E-4
0.72500,1.67593E-4
0.75000,3.39590E-4
0.77500,5.16000E-4
0.80000,5.16000E-4
0.82500,5.16000E-4
0.85000,5.16000E-4
0.87500,5.16000E-4
0.90000,5.16000E-4
0.92500,5.20414E-4
0.95000,3.44000E-4
0.97500,3.48410E-4
1.00000,1.72000E-4
1.02500,1.76407E-4
1.05000,0.00000
1.07500,4.40329E-6
1.10000,-1.67600E-4
1.12500,-3.39604E-4
1.15000,-5.11607E-4
1.17500,-6.88000E-4
1.20000,-6.83610E-4
1.22500,-8.60000E-4
1.25000,-8.60000E-4
1.27500,-8.60000E-4
1.30000,-8.64386E-4
1.32500,-6.92389E-4
1.35000,-5.16000E-4
1.37500,-5.20393E-4
1.40000,-3.48396E-4
1.42500,-1.80799E-4
1.45000,1.67593E-4
1.47500,3.39590E-4
1.50000,5.11587E-4
1.52500,6.83583E-4
1.55000,8.55580E-4
1.57500,0.00103
1.60000,0.00103
1.62500,0.00120
1.65000,0.00120
1.67500,0.00121
1.70000,0.00104
1.72500,8.64420E-4
1.75000,6.92417E-4
1.77500,5.24827E-4
1.80000,1.76407E-4
1.82500,8.80675E-6
1.85000,-3.35207E-4
1.87500,-6.83610E-4
1.90000,-8.55614E-4
1.92500,-0.00103
1.95000,-0.00120
1.97500,-0.00120
2.00000,-0.00120
2.02500,-0.00120
2.05000,-0.00121
2.07500,-0.00104
2.10000,-8.68772E-4
2.12500,-5.20393E-4
2.15000,-3.52792E-4
2.17500,-4.40311E-6
2.20000,1.63187E-4
2.22500,5.07173E-4
2.25000,8.55580E-4
2.27500,0.00102
2.30000,0.00138
2.32500,0.00137
2.35000,0.00155
2.37500,0.00138
2.40000,0.00138
2.42500,0.00138
2.45000,0.00121
2.47500,0.00104
2.50000,6.96834E-4
2.52500,3.48410E-4
2.55000,1.80814E-4
2.57500,-1.63200E-4
2.60000,-5.07214E-4
2.62500,-8.51228E-4
2.65000,-0.00120
2.67500,-0.00137
2.70000,-0.00155
2.72500,-0.00155
2.75000,-0.00155
2.77500,-0.00155
2.80000,-0.00138
2.82500,-0.00121
2.85000,-0.00104
2.87500,-6.96779E-4
2.90000,-3.52792E-4
2.92500,-8.80605E-6
2.95000,3.35180E-4
