"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
0.000,0.3179311,,
0.025,0.0000000,-0.07,
0.050,-0.0181663,-0.02,1.37
0.075,-4.8332967E-4,0.00,0.59
0.100,-4.8332967E-4,0.00,0.11
0.125,-4.8332967E-4,0.00,-0.05
0.150,0.0000000,0.00,-0.02
0.175,-0.0176833,0.00,0.01
0.200,-0.0176833,0.00,0.03
0.225,-0.0176833,0.00,0.02
0.250,-0.0176833,0.00,0.02
0.275,-0.0176833,-3.22E-5,0.02
0.300,-0.0176833,0.00,0.03
0.325,-0.0181663,0.00,0.02
0.350,-4.8332967E-4,0.00,-0.01
0.375,-4.8332967E-4,0.00,-0.04
0.400,-4.8332967E-4,3.22E-5,-0.05
0.425,-4.8332967E-4,0.00,-0.04
0.450,0.0000000,0.00,-0.02
0.475,-0.0176833,0.00,0.01
0.500,-0.0176833,0.00,0.03
0.525,-0.0176833,0.00,0.03
0.550,-0.0176833,-3.22E-5,0.03
0.575,-0.0176833,0.00,0.03
0.600,-0.0181663,0.00,0.02
0.625,-4.8332967E-4,0.00,-0.01
0.650,-4.8332967E-4,0.00,-0.04
0.675,-4.8332967E-4,3.22E-5,-0.05
0.700,-4.8332967E-4,0.00,-0.04
0.725,0.0000000,0.00,-0.02
0.750,-0.0176833,0.00,0.01
0.775,-0.0176833,0.00,0.03
0.800,-0.0176833,0.00,0.03
0.825,-0.0176833,-3.22E-5,0.03
0.850,-0.0176833,0.00,0.03
0.875,-0.0181663,0.00,0.02
0.900,-4.8332967E-4,0.00,-0.01
0.925,-4.8332967E-4,0.00,-0.04
0.950,-4.8332967E-4,3.22E-5,-0.05
0.975,-4.8332967E-4,0.00,-0.04
1.000,0.0000000,0.00,-0.02
1.025,-0.0176833,0.00,0.01
1.050,-0.0176833,0.00,0.03
1.075,-0.0176833,0.00,0.03
1.100,-0.0176833,-3.22E-5,0.03
1.125,-0.0176833,0.00,0.03
1.150,-0.0181663,0.00,0.02
1.175,-4.8332967E-4,0.00,-0.01
1.200,-4.8332967E-4,0.00,-0.04
1.225,-4.8332967E-4,3.22E-5,-0.05
1.250,-4.8332967E-4,0.00,-0.04
1.275,0.0000000,0.00,-0.02
1.300,-0.0176833,0.00,0.01
1.325,-0.0176833,0.00,0.03
1.350,-0.0176833,0.00,0.02
1.375,-0.0176833,0.00,0.02
1.400,-0.0176833,-3.22E-5,-0.02
1.425,-0.0176833,0.00,-0.09
1.450,-0.0181663,0.00,-0.28
1.475,0.0024169,-0.01,-0.72
1.500,-0.1046458,-0.03,-1.36
1.525,-0.0586759,-0.08,-1.61
1.550,-0.4362928,-0.14,-0.52
1.575,-0.8460246,-0.14,1.85
1.600,-1.3977817,-0.05,4.12
1.625,-1.2535476,0.11,4.54
1.650,-0.7091258,0.23,2.71
1.675,0.0484604,0.26,-0.35
1.700,0.7610529,0.20,-3.21
1.725,1.2040241,0.08,-4.67
1.750,1.1979843,-0.07,-4.31
1.775,0.8101985,-0.17,-2.64
1.800,0.1301212,-0.20,-0.55
1.825,-0.2278777,-0.19,1.43
1.850,-0.7111557,-0.13,3.27
1.875,-1.1602453,-0.02,4.40
1.900,-0.8930438,0.12,3.87
1.925,-0.3282004,0.22,1.65
1.950,0.3283299,0.21,-1.21
1.975,0.8697065,0.14,-3.45
2.000,1.1220686,0.02,-4.37
2.025,0.9762938,-0.11,-3.82
2.050,0.5165821,-0.20,-1.98
2.075,-0.1217329,-0.22,0.50
2.100,-0.7135021,-0.17,2.76
2.125,-1.0682692,-0.06,4.05
2.150,-1.0236148,0.06,4.00
2.175,-0.7216258,0.16,2.68
2.200,-0.1381837,0.21,0.48
2.225,0.4854976,0.19,-1.91
2.250,0.9420015,0.10,-3.69
2.275,1.0729837,-0.02,-4.20
2.300,0.8401206,-0.13,-3.13
2.325,0.3267518,-0.20,-0.84
2.350,-0.2962386,-0.18,1.72
2.375,-0.8107518,-0.09,3.28
2.400,-0.7433626,0.02,3.33
2.425,-0.6309804,0.09,2.46
2.450,-0.2140691,0.13,1.25
2.475,0.0356273,0.16,-0.14
2.500,0.5916134,0.14,-1.85
2.525,0.9455167,0.07,-3.30
2.550,0.9545602,-0.05,-3.65
2.575,0.6508070,-0.15,-2.59
2.600,0.1364427,-0.20,-0.41
2.625,-0.4535011,-0.18,2.09
2.650,-0.8744224,-0.08,3.73
2.675,-1.0115132,0.05,3.69
2.700,-0.5115839,0.13,2.23
2.725,-0.0593155,0.16,0.45
2.750,0.1922758,0.14,-1.03
2.775,0.6810563,0.11,-2.32
2.800,0.9131230,0.03,-3.24
2.825,0.8528248,-0.08,-3.22
2.850,0.4964077,-0.16,-1.83
2.875,-0.0380889,-0.19,0.48
2.900,-0.5414333,-0.13,2.64
2.925,-0.9023279,-0.03,3.53
2.950,-0.6272159,0.08,2.83
2.975,-0.3573403,0.13,1.36
3.000,0.1140893,0.13,-0.07
3.025,0.3150552,0.12,-1.24
3.050,0.7174376,0.08,-2.36
3.075,0.8817263,4.66E-4,-3.05
3.100,0.7161627,-0.10,-2.72
3.125,0.3233208,-0.16,-1.30
3.150,-0.1772089,-0.17,0.66
3.175,-0.6307640,-0.12,2.37
3.200,-0.8614155,-0.04,3.28
3.225,-0.8349493,0.06,3.09
3.250,-0.5120567,0.14,1.87
3.275,-0.0479074,0.17,0.04
3.300,0.4206653,0.14,-1.77
3.325,0.7376224,0.07,-2.98
3.350,0.7972072,-0.03,-3.18
3.375,0.5789945,-0.11,-2.33
3.400,0.1679439,-0.16,-0.69
3.425,-0.3172667,-0.15,1.17
3.450,-0.6847262,-0.09,2.59
3.475,-0.8298172,0.00,3.11
3.500,-0.6978708,0.08,2.58
3.525,-0.3568643,0.14,1.23
3.550,0.0915580,0.15,-0.51
3.575,0.4919055,0.11,-2.06
3.600,0.7229122,0.04,-2.91
3.625,0.6954725,-0.05,-2.78
3.650,0.4241202,-0.12,-1.71
3.675,0.0111219,-0.15,-0.08
3.700,-0.4056799,-0.12,1.53
3.725,-0.6870746,-0.06,2.60
3.750,-0.7452360,0.02,2.80
