Time (s) Monitor Run,Position (cm) Monitor Run,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
0,0,,
0.025,4.83E-06,0,
0.05,-0.000172,0,0.05
0.075,-0.000172,0,0.05
0.1,-0.000172,-3.22E-05,0.05
0.125,-0.000172,0,0.04
0.15,-0.00017683,0,0.02
0.175,0,0,-0.01
0.2,0,0,-0.04
0.225,0,3.22E-05,-0.05
0.25,0,0,-0.04
0.275,4.83E-06,0,-0.02
0.3,-0.000172,0,0.01
0.325,-0.000172,0,0.03
0.35,-0.000172,0,0.03
0.375,-0.000172,-3.22E-05,0.03
0.4,-0.000172,0,0.03
0.425,-0.00017683,0,0.02
0.45,0,0,-0.01
0.475,0,0,-0.03
0.5,0,0,-0.03
0.525,0,3.22E-05,-0.03
0.55,0,0,-0.03
0.575,4.83E-06,0,-0.02
0.6,-0.000172,0,0.01
0.625,-0.000172,0,0.04
0.65,-0.000172,-3.22E-05,0.05
0.675,-0.000172,0,0.04
0.7,-0.00017683,0,0.02
0.725,0,0,-0.01
0.75,0,0,-0.03
0.775,0,0,-0.03
0.8,0,3.22E-05,-0.03
0.825,0,0,-0.03
0.85,4.83E-06,0,-0.02
0.875,-0.000172,0,0.01
0.9,-0.000172,0,0.04
0.925,-0.000172,-3.22E-05,0.05
0.95,-0.000172,0,0.04
0.975,-0.00017683,0,0.02
1,0,0,-0.01
1.025,0,0,-0.03
1.05,0,0,-0.03
1.075,0,3.22E-05,-0.03
1.1,0,0,-0.03
1.125,4.83E-06,0,-0.02
1.15,-0.000172,0,0.06
1.175,-0.000172,0,-0.08
1.2,-0.000172,0.01,-0.82
1.225,-0.000196146,-0.02,-1.97
1.25,0.000843202,-0.1,-2.39
1.275,-0.004635862,-0.19,-0.96
1.3,-0.011222955,-0.19,1.97
1.325,-0.016181529,-0.08,4.82
1.35,-0.015742367,0.09,5.98
1.375,-0.012496163,0.26,4.66
1.4,-0.00185495,0.37,1.12
1.425,0.009229182,0.34,-3.23
1.45,0.017325383,0.18,-6.46
1.475,0.019045138,-0.04,-7.29
1.5,0.015058988,-0.23,-5.5
1.525,0.006145366,-0.35,-1.85
1.55,-0.00421556,-0.34,2.34
1.575,-0.013718971,-0.21,5.53
1.6,-0.015353261,-0.02,6.57
1.625,-0.013770312,0.17,5.39
1.65,-0.00697554,0.28,2.68
1.675,0.002910127,0.31,-0.61
1.7,0.0094512,0.24,-3.62
1.725,0.015803403,0.11,-5.71
1.75,0.016656657,-0.07,-6.08
1.775,0.011959765,-0.24,-4.41
1.8,0.003011352,-0.32,-1.03
1.825,-0.006166185,-0.3,2.9
1.85,-0.013514994,-0.16,5.79
1.875,-0.016493113,0.04,6.37
1.9,-0.010681402,0.21,4.44
1.925,-0.003687491,0.28,1.22
1.95,0.005370603,0.26,-1.87
1.975,0.010032222,0.17,-4
2,0.014129579,0.04,-5.06
2.025,0.013397034,-0.1,-4.8
2.05,0.008308972,-0.23,-3.03
2.075,0.000562,-0.28,-0.15
2.1,-0.007250666,-0.24,2.87
2.125,-0.012700525,-0.12,4.92
2.15,-0.013855678,0.04,5.34
2.175,-0.010333062,0.18,3.96
2.2,-0.003487119,0.26,1.27
2.225,0.00446187,0.25,-1.84
2.25,0.010937273,0.16,-4.31
2.275,0.013477233,0.01,-5.31
2.3,0.011529232,-0.14,-4.51
2.325,0.005549544,-0.24,-2.22
2.35,-0.002039511,-0.26,0.78
2.375,-0.00918106,-0.2,3.49
2.4,-0.013257704,-0.07,5.02
2.425,-0.012846983,0.08,4.87
2.45,-0.008451895,0.21,3.1
2.475,-0.001238762,0.26,0.32
2.5,0.006220229,0.22,-2.55
2.525,0.011316583,0.12,-4.38
2.55,0.012647551,-0.03,-4.53
2.575,0.009645966,-0.14,-3.25
2.6,0.00320864,-0.2,-1.31
2.625,-0.000696145,-0.21,0.78
2.65,-0.006576353,-0.16,2.91
2.675,-0.011551613,-0.06,4.46
2.7,-0.010630618,0.09,4.4
2.725,-0.005516192,0.21,2.49
2.75,0.00120114,0.23,-0.4
2.775,0.007468349,0.18,-2.96
2.8,0.011013053,0.06,-4.23
2.825,0.010952202,-0.07,-3.87
2.85,0.0070541,-0.16,-2.19
2.875,0.000966756,-0.18,-0.15
2.9,-0.002814131,-0.15,1.52
2.925,-0.006851823,-0.1,2.76
2.95,-0.007893299,-0.02,3.53
2.975,-0.008744408,0.1,3.36
3,-0.00344428,0.18,1.75
3.025,0.002954124,0.2,-0.79
3.05,0.008014091,0.14,-3.06
3.075,0.010527306,0.02,-4.1
3.1,0.009413537,-0.09,-3.65
3.125,0.005155835,-0.18,-1.87
3.15,-0.000700967,-0.21,0.71
3.175,-0.006441913,-0.14,2.92
3.2,-0.010059376,-0.02,3.7
3.225,-0.00696449,0.07,3.03
3.25,-0.003850587,0.13,1.76
3.275,-0.001534483,0.16,0.35
3.3,0.004181996,0.16,-1.31
3.325,0.008387992,0.1,-2.93
3.35,0.009864366,-0.01,-3.72
3.375,0.007874749,-0.12,-3.08
3.4,0.003257646,-0.18,-1.13
3.425,-0.00244604,-0.19,1.39
3.45,-0.007335076,-0.11,3.27
3.475,-0.00974332,0.02,3.59
3.5,-0.005607863,0.1,2.49
3.525,-0.001777572,0.14,1
3.55,0.000198885,0.14,-0.36
3.575,0.005415053,0.13,-1.76
3.6,0.008594995,0.06,-2.99
3.625,0.008852164,-0.04,-3.36
3.65,0.006163738,-0.14,-2.41
3.675,0.001177703,-0.18,-0.36
3.7,-0.00402344,-0.16,1.96
3.725,-0.007879271,-0.07,3.46
3.75,-0.009250797,0.05,3.35
3.775,-0.004241961,0.13,1.92
3.8,-0.000053154,0.14,0.29
3.825,0.001770285,0.12,-0.97
3.85,0.00613253,0.09,-2.05
3.875,0.008275995,0.03,-2.85
3.9,0.007662743,-0.07,-2.86
3.925,0.00443289,-0.14,-1.75
3.95,-0.000213619,-0.17,0.08
3.975,-0.004907504,-0.14,1.88
4,-0.00790265,-0.06,3.03
4.025,-0.008326,0.04,3.12
4.05,-0.005789218,0.12,2.17
4.075,-0.001672793,0.16,0.53
4.1,0.002821318,0.14,-1.25
4.125,0.006501257,0.09,-2.59
4.15,0.0077849,0,-3.06
4.175,0.00629118,-0.09,-2.49
4.2,0.00287916,-0.14,-1.11
4.225,-0.00161438,-0.15,0.61
4.25,-0.005447309,-0.11,2.09
4.275,-0.007582045,-0.03,2.86
4.3,-0.007127051,0.05,2.67
4.325,-0.004409135,0.12,1.62
4.35,-0.000459776,0.15,0.04
4.375,0.003705483,0.12,-1.56
4.4,0.006526073,0.06,-2.62
4.425,0.006939664,-0.03,-2.76
4.45,0.004919563,-0.1,-1.96
4.475,0.001315769,-0.14,-0.53
4.5,-0.002665962,-0.13,1.02
4.525,-0.005814982,-0.08,2.21
4.55,-0.007084841,0,2.67
4.575,-0.005928149,0.07,2.23
4.6,-0.003033768,0.12,1.04
4.625,0.000934962,0.13,-0.48
4.65,0.004422783,0.09,-1.82
4.675,0.006201914,0.03,-2.53
4.7,0.005917322,-0.05,-2.37
4.725,0.003542985,-0.11,-1.42
4.75,-0.000070532,-0.13,-0.01
4.775,-0.003722136,-0.11,1.39
4.8,-0.006010574,-0.05,2.29
4.825,-0.00641105,0.02,2.4
4.85,-0.004734032,0.09,1.72
4.875,-0.001472075,0.12,0.47
4.9,0.001986033,0.11,-0.9
4.925,0.004786426,0.07,-1.97
4.95,0.005877705,0,-2.37
4.975,0.004894898,-0.07,-1.96
5,0.002161529,-0.11,-0.88
5.025,-0.001294276,-0.11,0.48
5.05,-0.004257268,-0.08,1.64
5.075,-0.005862148,-0.02,2.21
5.1,-0.005388705,0.04,2.03
5.125,-0.00335379,0.09,1.19
5.15,-0.000258904,0.11,-0.02
5.175,0.002870203,0.09,-1.2
5.2,0.004806141,0.04,-1.97
5.225,0.005204436,-0.02,-2.07
5.25,0.003690512,-0.07,-1.48
5.275,0.000947339,-0.1,-0.39
5.3,-0.002173734,-0.1,0.82
5.325,-0.004448279,-0.06,1.71
5.35,-0.005360356,7.66E-04,2.01
5.375,-0.004361698,0.06,1.64
5.4,-0.002145435,0.09,0.73
5.425,0.000787266,0.1,-0.42
5.45,0.003405691,0.07,-1.41
5.475,0.004653853,0.02,-1.91
5.5,0.004354123,-0.04,-1.76
5.525,0.002486127,-0.08,-1.02
5.55,-0.000271583,-0.1,0.05
5.575,-0.002876243,-0.08,1.08
5.6,-0.00463926,-0.03,1.73
5.625,-0.004853889,0.02,1.79
5.65,-0.003506683,0.07,1.26
5.675,-0.001104167,0.09,0.32
5.7,0.001489644,0.08,-0.7
5.725,0.00359238,0.05,-1.48
5.75,0.004324598,2.19E-04,-1.74
5.775,0.003493934,-0.05,-1.43
5.8,0.001620984,-0.08,-0.65
5.825,-0.00096942,-0.08,0.34
5.85,-0.00323939,-0.06,1.18
5.875,-0.004304747,-0.02,1.61
5.9,-0.004170748,0.03,1.5
5.925,-0.002642145,0.07,0.9
5.95,-0.000406726,0.08,0.02
5.975,0.001848169,0.07,-0.85
6,0.003435098,0.03,-1.42
6.025,0.003641436,-0.01,-1.5
6.05,0.002633745,-0.05,-1.09
6.075,0.000751027,-0.07,-0.33
6.1,-0.001499968,-0.07,0.54
6.125,-0.003248927,-0.04,1.22
6.15,-0.003975015,0,1.46
6.175,-0.003315669,0.04,1.19
6.2,-0.001600813,0.07,0.53
6.225,0.000290771,0.07,-0.27
6.25,0.002211613,0.05,-0.95
6.275,0.003100895,0.01,-1.29
6.3,0.002958247,-0.02,-1.21
6.325,0.001768686,-0.05,-0.74
6.35,0.000053177,-0.06,-0.04
6.375,-0.001858428,-0.05,0.68
6.4,-0.003091229,-0.03,1.15
6.425,-0.003291837,0.01,1.21
6.45,-0.002451058,0.04,0.86
6.475,-0.00090815,0.06,0.23
6.5,0.000821203,0.05,-0.44
6.525,0.002226245,0.03,-0.95
6.55,0.00258977,8.75E-04,-1.12
6.575,0.00227503,-0.03,-0.92
6.6,0.000903661,-0.05,-0.41
6.625,-0.000649438,-0.05,0.21
6.65,-0.002044831,-0.04,0.74
6.675,-0.002756778,-0.01,1.01
6.7,-0.002603906,0.02,0.94
6.725,-0.001763181,0.04,0.56
6.75,-0.000210632,0.05,-0.02
6.775,0.001179716,0.04,-0.58
6.8,0.002064,0.02,-0.9
6.825,0.002083499,-0.01,-0.89
6.85,0.00141003,-0.03,-0.58
6.875,0.000205861,-0.04,-0.11
6.9,-0.001007935,-0.04,0.35
6.925,-0.001882409,-0.02,0.68
6.95,-0.002245577,-6.09E-04,0.79
6.975,-0.001915974,0.02,0.66
7,-0.001065683,0.04,0.31
7.025,0.000142984,0.04,-0.16
7.05,0.001189429,0.03,-0.58
7.075,0.001724868,0.01,-0.78
7.1,0.001572323,-0.02,-0.67
7.125,0.000717085,-0.03,-0.33
7.15,-0.000319866,-0.03,0.09
7.175,-0.001189572,-0.03,0.44
7.2,-0.00172,-0.01,0.62
7.225,-0.001734396,0.01,0.59
7.25,-0.001228043,0.02,0.38
7.275,-0.000368129,0.03,0.04
7.3,0.00050147,0.03,-0.29
7.325,0.001027146,0.01,-0.51
7.35,0.001213715,0,-0.55
7.375,0.000879403,-0.02,-0.41
7.4,0.000196186,-0.03,-0.12
7.425,-0.000673541,-0.02,0.2
7.45,-0.001199191,-0.01,0.42
7.475,-0.001380806,-3.53E-04,0.48
7.5,-0.001218426,0.01,0.38
7.525,-0.000707276,0.02,0.17
7.55,-0.000014499,0.02,-0.09
7.575,0.000506313,0.02,-0.31
7.6,0.00086485,0,-0.41
7.625,0.000697694,-0.01,-0.36
7.65,0.000358521,-0.02,-0.2
7.675,-0.00015751,-0.02,0.02
7.7,-0.000678361,-0.02,0.22
7.725,-0.001032,-0.01,0.33
7.75,-0.001041625,0,0.31
7.775,-0.000697638,0.01,0.19
7.8,-0.000353652,0.01,0.03
7.825,-9.67E-06,0.01,-0.11
7.85,0.00033916,0.01,-0.22
7.875,0.000520844,1.93E-04,-0.25
7.9,0.000353681,-0.01,-0.19
7.925,4.83E-06,-0.01,-0.07
7.95,-0.00016234,-0.01,0.06
7.975,-0.000511177,-0.01,0.16
8,-0.000692819,0,0.19
8.025,-0.000520823,0,0.15
8.05,-0.000348826,0.01,0.06
8.075,-0.00017683,0.01,-0.02
8.1,-4.83E-06,0.01,-0.09
8.125,0.000172,0,-0.13
8.15,0.000176837,0,-0.12
8.175,4.83E-06,0,-0.06
8.2,-0.000172,0,0.01
8.225,-0.00016717,0,0.06
8.25,-0.000344,0,0.08
8.275,-0.000348826,0,0.05
8.3,-0.000172,0,0.01
8.325,-0.000172,0,-0.02
8.35,-0.000172,0,-0.02
8.375,-0.000172,0,-0.01
8.4,-0.000172,0,0
8.425,-0.000172,0,-2.15E-04
8.45,-0.000172,0,0.01
8.475,-0.000172,-3.22E-05,0.02
8.5,-0.000172,0,0.02
8.525,-0.00017683,0,-0.01
8.55,0,0,-0.05
8.575,4.83E-06,0,-0.05
8.6,-0.000172,0,-0.01
8.625,-0.000172,0,0.02
8.65,-0.000172,0,0.02
8.675,-0.000172,0,0.01
8.7,-0.000172,0,0
8.725,-0.000172,0,0
8.75,-0.000172,0,0
8.775,-0.000172,0,0
8.8,-0.000172,0,0
8.825,-0.000172,0,0
8.85,-0.000172,0,0
8.875,-0.000172,0,0
8.9,-0.000172,0,0
8.925,-0.000172,0,0
8.95,-0.000172,0,0
8.975,-0.000172,0,0
9,-0.000172,0,0
9.025,-0.000172,0,0
9.05,-0.000172,0,0
9.075,-0.000172,0,0
9.1,-0.000172,0,0
9.125,-0.000172,0,0
9.15,-0.000172,0,0
9.175,-0.000172,0,0
9.2,-0.000172,0,0
9.225,-0.000172,0,0
9.25,-0.000172,0,0
9.275,-0.000172,0,0
9.3,-0.000172,0,0
9.325,-0.000172,0,0
9.35,-0.000172,0,0
9.375,-0.000172,0,0
9.4,-0.000172,0,0
9.425,-0.000172,0,0
9.45,-0.000172,0,0
9.475,-0.000172,0,0
9.5,-0.000172,0,0
9.525,-0.000172,0,0
9.55,-0.000172,0,0
9.575,-0.000172,0,0
9.6,-0.000172,0,0
9.625,-0.000172,0,0
9.65,-0.000172,0,0
9.675,-0.000172,0,0
9.7,-0.000172,0,0
9.725,-0.000172,0,0
9.75,-0.000172,0,0
9.775,-0.000172,0,0
9.8,-0.000172,0,0
