"Time (s) Run #1","Position (m) Run #1"
0.000,8.84272E-4
0.025,0.00000
0.050,4.83674E-6
0.075,-1.72000E-4
0.100,-1.72000E-4
0.125,-1.72000E-4
0.150,-1.72000E-4
0.175,-1.72000E-4
0.200,-1.72000E-4
0.225,-1.72000E-4
0.250,-1.72000E-4
0.275,-1.72000E-4
0.300,-1.72000E-4
0.325,-1.72000E-4
0.350,-1.72000E-4
0.375,-1.72000E-4
0.400,-1.72000E-4
0.425,-1.72000E-4
0.450,-1.72000E-4
0.475,-1.72000E-4
0.500,-1.72000E-4
0.525,-1.72000E-4
0.550,-1.72000E-4
0.575,-1.72000E-4
0.600,-1.72000E-4
0.625,-1.72000E-4
0.650,-1.72000E-4
0.675,-1.72000E-4
0.700,-1.72000E-4
0.725,-1.72000E-4
0.750,-1.72000E-4
0.775,-1.72000E-4
0.800,-1.72000E-4
0.825,-1.72000E-4
0.850,-1.72000E-4
0.875,-1.72000E-4
0.900,-1.72000E-4
0.925,-1.72000E-4
0.950,-1.72000E-4
0.975,-1.72000E-4
1.000,-1.72000E-4
1.025,-1.72000E-4
1.050,-1.72000E-4
1.075,-1.72000E-4
1.100,-1.72000E-4
1.125,-1.72000E-4
1.150,-1.72000E-4
1.175,-1.72000E-4
1.200,-1.72000E-4
1.225,-1.67167E-4
1.250,-3.44000E-4
1.275,-3.39170E-4
1.300,-5.11174E-4
1.325,-6.88000E-4
1.350,-6.83177E-4
1.375,-8.60000E-4
1.400,-8.60000E-4
1.425,-8.64819E-4
1.450,-6.88000E-4
1.475,-6.88000E-4
1.500,-6.88000E-4
1.525,-6.92823E-4
1.550,-5.16000E-4
1.575,-5.16000E-4
1.600,-5.16000E-4
1.625,-5.20826E-4
1.650,-3.48830E-4
1.675,-1.72000E-4
1.700,-1.76833E-4
1.725,-4.83654E-6
1.750,1.72000E-4
1.775,1.67160E-4
1.800,3.44000E-4
1.825,3.44000E-4
1.850,3.44000E-4
1.875,3.44000E-4
1.900,3.44000E-4
1.925,3.44000E-4
1.950,3.44000E-4
1.975,3.44000E-4
2.000,3.44000E-4
2.025,3.44000E-4
2.050,3.44000E-4
2.075,3.48844E-4
2.100,1.72000E-4
2.125,1.76840E-4
2.150,4.83674E-6
2.175,-1.67167E-4
2.200,-3.44000E-4
2.225,-3.39170E-4
2.250,-5.16000E-4
2.275,-5.16000E-4
2.300,-5.16000E-4
2.325,-5.16000E-4
2.350,-5.11174E-4
2.375,-6.88000E-4
2.400,-6.88000E-4
2.425,-6.88000E-4
2.450,-6.88000E-4
2.475,-6.88000E-4
2.500,-6.88000E-4
2.525,-6.88000E-4
2.550,-6.88000E-4
2.575,-6.92823E-4
2.600,-5.20826E-4
2.625,-3.44000E-4
2.650,-3.48830E-4
2.675,-1.72000E-4
2.700,-1.76833E-4
2.725,0.00000
2.750,-4.83654E-6
2.775,1.72000E-4
2.800,1.67160E-4
2.825,3.44000E-4
2.850,3.44000E-4
2.875,3.39157E-4
2.900,5.16000E-4
2.925,5.16000E-4
2.950,5.16000E-4
2.975,5.16000E-4
3.000,5.16000E-4
3.025,5.16000E-4
3.050,5.20847E-4
3.075,3.48844E-4
3.100,1.72000E-4
3.125,1.76840E-4
3.150,4.83674E-6
3.175,-1.67167E-4
3.200,-3.44000E-4
3.225,-3.44000E-4
3.250,-3.39170E-4
3.275,-5.16000E-4
3.300,-5.16000E-4
3.325,-5.16000E-4
