"Time (s) Run #1","Position (m) Run #1"
0.000,-0.00533
0.025,-0.00550
0.050,-0.00551
0.075,-0.00534
0.100,-0.00517
0.125,-0.00466
0.150,-0.00414
0.175,-0.00365
0.200,-0.00228
0.225,-7.41040E-4
0.250,0.00117
0.275,0.00223
0.300,0.00260
0.325,0.00175
0.350,5.54782E-4
0.375,-8.40721E-4
0.400,-0.00155
0.425,-0.00156
0.450,-0.00106
0.475,-1.96164E-4
0.500,6.78300E-4
0.525,0.00104
0.550,8.79417E-4
0.575,1.96203E-4
0.600,-6.73530E-4
0.625,-0.00120
0.650,-0.00140
0.675,-7.12112E-4
0.700,1.42963E-4
0.725,0.00118
0.750,0.00190
0.775,0.00174
0.800,8.93982E-4
0.825,-3.05356E-4
0.850,-0.00170
0.875,-0.00258
0.900,-0.00261
0.925,-0.00159
0.950,-5.31913E-5
0.975,0.00186
1.000,0.00309
1.025,0.00347
1.050,0.00246
1.075,7.51072E-4
1.100,-0.00150
1.125,-0.00324
1.150,-0.00414
1.175,-0.00366
1.200,-0.00196
1.225,4.48162E-4
1.250,0.00288
1.275,0.00447
1.300,0.00469
1.325,0.00317
1.350,5.93576E-4
1.375,-0.00217
1.400,-0.00445
1.425,-0.00536
1.450,-0.00454
1.475,-0.00215
1.500,9.49454E-4
1.525,0.00391
1.550,0.00568
1.575,0.00556
1.600,0.00371
1.625,4.36062E-4
1.650,-0.00286
1.675,-0.00531
1.700,-0.00622
1.725,-0.00524
1.750,-0.00251
1.775,0.00111
1.800,0.00442
1.825,0.00637
1.850,0.00608
1.875,0.00405
1.900,6.17829E-4
1.925,-0.00302
1.950,-0.00565
1.975,-0.00674
2.000,-0.00558
2.025,-0.00286
2.050,9.34893E-4
2.075,0.00442
2.100,0.00636
2.125,0.00643
2.150,0.00423
2.175,7.89901E-4
2.200,-0.00284
2.225,-0.00582
2.250,-0.00674
2.275,-0.00576
2.300,-0.00286
2.325,9.39747E-4
2.350,0.00424
2.375,0.00637
2.400,0.00625
2.425,0.00440
2.450,9.57116E-4
2.475,-0.00250
