"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,7.07403E-4,,
0.025,0.00000,-0.01,
0.050,4.83674E-6,-0.01,0.23
0.075,-1.72000E-4,0.00,0.13
0.100,-1.72000E-4,0.00,0.06
0.125,-1.72000E-4,0.00,0.02
0.150,-1.72000E-4,0.00,0.01
0.175,-1.72000E-4,0.00,-2.15E-4
0.200,-1.72000E-4,0.00,0.01
0.225,-1.72000E-4,-3.22E-5,0.02
0.250,-1.72000E-4,0.00,0.03
0.275,-1.76833E-4,0.00,0.02
0.300,0.00000,0.00,-0.02
0.325,0.00000,0.00,-0.05
0.350,0.00000,0.00,-0.05
0.375,4.83674E-6,0.00,-0.02
0.400,-1.72000E-4,0.00,0.01
0.425,-1.72000E-4,0.00,0.03
0.450,-1.72000E-4,0.00,0.02
0.475,-1.72000E-4,0.00,0.01
0.500,-1.72000E-4,0.00,0.00
0.525,-1.72000E-4,0.00,0.00
0.550,-1.72000E-4,0.00,0.00
0.575,-1.72000E-4,0.00,0.00
0.600,-1.72000E-4,0.00,0.00
0.625,-1.72000E-4,0.00,0.00
0.650,-1.72000E-4,0.00,0.00
0.675,-1.72000E-4,0.00,0.00
0.700,-1.72000E-4,0.00,0.00
0.725,-1.72000E-4,0.00,0.00
0.750,-1.72000E-4,0.00,0.00
0.775,-1.72000E-4,0.00,-2.15E-4
0.800,-1.72000E-4,0.00,0.01
0.825,-1.72000E-4,-3.22E-5,0.02
0.850,-1.72000E-4,0.00,0.01
0.875,-1.76833E-4,0.00,-0.01
0.900,4.83674E-6,3.22E-5,-0.03
0.925,-1.72000E-4,0.00,-0.02
0.950,-1.72000E-4,0.00,0.01
0.975,-1.72000E-4,0.00,0.02
1.000,-1.72000E-4,0.00,0.01
1.025,-1.72000E-4,0.00,-2.15E-4
1.050,-1.72000E-4,0.00,0.01
1.075,-1.72000E-4,-3.22E-5,0.02
1.100,-1.72000E-4,0.00,0.03
1.125,-1.76833E-4,0.00,0.02
