"Time (s) Run #1","Position (m) Run #1"
0.000,1.76809E-4
0.025,0.00000
0.050,0.00000
0.075,-4.80558E-6
0.100,1.72000E-4
0.125,1.72000E-4
0.150,1.72000E-4
0.175,1.72000E-4
0.200,1.72000E-4
0.225,1.72000E-4
0.250,1.72000E-4
0.275,1.76809E-4
0.300,0.00000
0.325,-4.80558E-6
0.350,1.72000E-4
0.375,1.72000E-4
0.400,1.72000E-4
0.425,1.72000E-4
0.450,1.72000E-4
0.475,1.72000E-4
0.500,1.72000E-4
0.525,1.72000E-4
0.550,1.76809E-4
0.575,0.00000
0.600,0.00000
0.625,0.00000
0.650,-4.80558E-6
0.675,1.72000E-4
0.700,1.72000E-4
0.725,1.72000E-4
0.750,1.72000E-4
0.775,1.72000E-4
0.800,1.72000E-4
0.825,1.72000E-4
0.850,1.76809E-4
0.875,0.00000
0.900,0.00000
0.925,-4.80558E-6
0.950,1.72000E-4
0.975,1.72000E-4
1.000,1.72000E-4
1.025,1.72000E-4
1.050,1.72000E-4
1.075,1.72000E-4
1.100,1.76809E-4
1.125,0.00000
1.150,0.00000
1.175,0.00000
1.200,0.00000
1.225,-4.80558E-6
1.250,1.72000E-4
1.275,1.72000E-4
1.300,1.72000E-4
1.325,1.72000E-4
1.350,1.72000E-4
1.375,1.72000E-4
1.400,1.76809E-4
1.425,0.00000
1.450,0.00000
1.475,0.00000
1.500,-4.80558E-6
1.525,1.72000E-4
1.550,1.72000E-4
1.575,1.72000E-4
1.600,1.72000E-4
1.625,1.72000E-4
1.650,1.72000E-4
1.675,1.72000E-4
1.700,1.76809E-4
1.725,0.00000
1.750,0.00000
1.775,0.00000
1.800,-4.80558E-6
1.825,1.72000E-4
1.850,1.72000E-4
1.875,1.72000E-4
1.900,1.72000E-4
1.925,1.72000E-4
1.950,1.72000E-4
1.975,1.76809E-4
2.000,0.00000
2.025,0.00000
2.050,0.00000
2.075,0.00000
2.100,-4.80558E-6
2.125,1.72000E-4
2.150,1.72000E-4
2.175,1.72000E-4
2.200,1.72000E-4
2.225,1.72000E-4
2.250,1.72000E-4
2.275,1.76809E-4
2.300,0.00000
2.325,0.00000
2.350,0.00000
2.375,0.00000
2.400,-4.80558E-6
2.425,1.72000E-4
2.450,1.76809E-4
2.475,-4.80558E-6
2.500,1.76809E-4
2.525,0.00000
2.550,4.80578E-6
2.575,-1.72000E-4
2.600,-1.67198E-4
2.625,-3.34402E-4
2.650,-6.64038E-4
2.675,-0.00150
2.700,-0.00317
2.725,-0.00657
2.750,-0.01173
2.775,-0.01706
2.800,-0.02243
2.825,-0.02647
2.850,-0.02731
2.875,-0.02196
2.900,-0.01069
2.925,0.00309
2.950,0.01557
2.975,0.02423
3.000,0.02498
3.025,0.02392
3.050,0.01804
3.075,0.00740
3.100,-0.00471
3.125,-0.01483
3.150,-0.01997
3.175,-0.01943
3.200,-0.01317
3.225,-0.00305
3.250,0.00767
3.275,0.01606
3.300,0.01994
3.325,0.02050
3.350,0.01963
3.375,0.01316
3.400,0.00440
3.425,-0.00529
3.450,-0.01331
3.475,-0.01758
3.500,-0.01649
3.525,-0.01089
3.550,-0.00230
3.575,0.00634
3.600,0.01334
3.625,0.01589
3.650,0.01392
3.675,0.00850
3.700,2.50534E-5
3.725,-0.00709
3.750,-0.01201
3.775,-0.01314
3.800,-0.01065
3.825,-0.00483
3.850,0.00206
3.875,0.00849
3.900,0.01234
3.925,0.01394
3.950,0.01388
3.975,0.00979
4.000,0.00449
4.025,-0.00208
4.050,-0.00782
4.075,-0.01135
4.100,-0.01144
4.125,-0.00823
4.150,-0.00276
4.175,0.00362
4.200,0.00956
4.225,0.01208
4.250,0.01098
4.275,0.00601
4.300,4.93282E-4
4.325,-0.00488
4.350,-0.00874
4.375,-0.01002
4.400,-0.00836
4.425,-0.00444
4.450,7.20218E-4
4.475,0.00575
4.500,0.00907
4.525,0.01070
4.550,0.00956
4.575,0.00615
4.600,0.00167
4.625,-0.00266
4.650,-0.00598
4.675,-0.00759
4.700,-0.00695
4.725,-0.00424
4.750,-2.77603E-4
4.775,0.00353
4.800,0.00647
4.825,0.00879
4.850,0.00816
4.875,0.00543
4.900,0.00216
4.925,-0.00129
4.950,-0.00426
4.975,-0.00585
5.000,-0.00572
5.025,-0.00404
5.050,-0.00112
5.075,0.00199
5.100,0.00458
5.125,0.00706
5.150,0.00680
5.175,0.00369
5.200,7.69958E-4
5.225,-0.00218
5.250,-0.00411
5.275,-0.00483
5.300,-0.00418
5.325,-0.00230
5.350,1.04691E-4
5.375,0.00253
5.400,0.00445
5.425,0.00516
5.450,0.00542
