"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
0.000,0.3356825,,
0.025,0.0176871,-0.07,
0.050,0.0000000,-0.02,1.32
0.075,0.0000000,0.00,0.63
0.100,0.0000000,0.00,0.19
0.125,-4.8675026E-4,0.00,0.00
0.150,0.0172000,0.00,-0.05
0.175,0.0176871,0.00,-0.05
0.200,0.0000000,0.00,-0.01
0.225,0.0000000,0.00,0.02
0.250,0.0000000,0.00,0.02
0.275,0.0000000,0.00,0.01
0.300,0.0000000,0.00,-2.16E-4
0.325,0.0000000,0.00,0.01
0.350,0.0000000,-3.25E-5,0.02
0.375,0.0000000,0.00,0.02
0.400,-4.8675026E-4,0.00,-0.01
0.425,0.0172000,0.00,-0.05
0.450,0.0176871,0.00,-0.05
0.475,0.0000000,0.00,-0.01
0.500,0.0000000,0.00,0.02
0.525,0.0000000,0.00,0.02
0.550,0.0000000,0.00,0.01
0.575,0.0000000,0.00,-2.16E-4
0.600,0.0000000,0.00,0.01
0.625,0.0000000,-3.25E-5,0.02
0.650,0.0000000,0.00,0.03
0.675,-4.8675026E-4,0.00,0.01
0.700,0.0172000,0.00,-0.04
0.725,0.0172000,6.49E-5,-0.06
0.750,0.0176871,0.00,-0.04
0.775,0.0000000,0.00,0.01
0.800,0.0000000,0.00,0.03
0.825,0.0000000,0.00,0.02
0.850,0.0000000,0.00,0.01
0.875,0.0000000,0.00,0.01
0.900,0.0000000,-3.25E-5,0.02
0.925,0.0000000,0.00,0.02
0.950,-4.8675026E-4,0.00,-0.01
0.975,0.0172000,0.00,-0.05
1.000,0.0176871,0.00,-0.05
1.025,0.0000000,0.00,-0.01
1.050,0.0000000,0.00,0.02
1.075,0.0000000,0.00,0.02
1.100,0.0000000,0.00,0.01
1.125,0.0000000,0.00,0.00
1.150,0.0000000,0.00,-2.16E-4
1.175,0.0000000,0.00,0.01
1.200,0.0000000,-3.25E-5,0.02
1.225,0.0000000,0.00,0.01
1.250,-4.8675026E-4,0.00,-0.01
1.275,0.0176871,3.25E-5,-0.03
1.300,0.0000000,0.00,-0.02
1.325,0.0000000,0.00,0.01
1.350,0.0000000,0.00,0.02
1.375,0.0000000,0.00,0.01
1.400,0.0000000,0.00,-2.16E-4
1.425,0.0000000,0.00,0.01
1.450,0.0000000,-3.25E-5,0.02
1.475,0.0000000,0.00,0.03
1.500,-4.8675026E-4,0.00,0.01
1.525,0.0172000,0.00,-0.04
1.550,0.0172000,6.49E-5,-0.06
1.575,0.0176871,0.00,-0.04
1.600,0.0000000,0.00,0.01
1.625,0.0000000,0.00,0.03
1.650,0.0000000,0.00,0.02
1.675,0.0000000,0.00,0.01
1.700,0.0000000,0.00,0.01
1.725,0.0000000,-3.25E-5,0.02
1.750,0.0000000,0.00,0.02
1.775,-4.8675026E-4,0.00,-0.01
1.800,0.0172000,0.00,-0.05
1.825,0.0176871,0.00,-0.05
1.850,0.0000000,0.00,-0.01
1.875,0.0000000,0.00,0.02
1.900,0.0000000,0.00,0.02
1.925,0.0000000,0.00,0.01
1.950,0.0000000,0.00,0.00
1.975,0.0000000,0.00,-2.16E-4
2.000,0.0000000,0.00,0.01
2.025,0.0000000,-3.25E-5,0.02
2.050,0.0000000,0.00,0.02
2.075,-4.8675026E-4,0.00,-0.01
2.100,0.0172000,0.00,-0.05
2.125,0.0176871,0.00,-0.05
2.150,0.0000000,0.00,-0.01
2.175,0.0000000,0.00,0.02
2.200,0.0000000,0.00,0.02
2.225,0.0000000,0.00,0.01
2.250,0.0000000,0.00,-2.16E-4
2.275,0.0000000,0.00,0.01
2.300,0.0000000,-3.25E-5,0.02
2.325,0.0000000,0.00,0.02
2.350,-4.8675026E-4,0.00,-0.01
2.375,0.0172000,0.00,-0.05
2.400,0.0176871,0.00,-0.05
2.425,0.0000000,0.00,-0.01
2.450,0.0000000,0.00,0.02
2.475,0.0000000,0.00,0.02
2.500,0.0000000,0.00,0.01
2.525,0.0000000,0.00,-2.16E-4
2.550,0.0000000,0.00,0.01
2.575,0.0000000,-3.25E-5,0.02
2.600,0.0000000,0.00,0.03
2.625,-4.8675026E-4,0.00,0.01
2.650,0.0172000,0.00,-0.04
2.675,0.0172000,6.49E-5,-0.06
2.700,0.0176871,0.00,-0.04
2.725,0.0000000,0.00,0.01
2.750,0.0000000,0.00,0.03
2.775,0.0000000,0.00,0.02
2.800,0.0000000,0.00,0.01
2.825,0.0000000,0.00,0.01
2.850,0.0000000,-3.25E-5,0.02
2.875,0.0000000,0.00,0.03
2.900,-4.8675026E-4,0.00,0.01
2.925,0.0172000,0.00,-0.04
2.950,0.0172000,6.49E-5,-0.06
2.975,0.0176871,0.00,-0.04
3.000,0.0000000,0.00,0.01
3.025,0.0000000,0.00,0.03
3.050,0.0000000,0.00,0.02
3.075,0.0000000,0.00,0.01
3.100,0.0000000,0.00,0.01
3.125,0.0000000,-3.25E-5,0.02
3.150,0.0000000,0.00,0.01
3.175,-4.8675026E-4,0.00,-0.01
3.200,0.0176871,3.25E-5,-0.03
3.225,0.0000000,0.00,0.12
3.250,0.0000000,0.00,0.29
3.275,0.0000000,0.02,0.17
3.300,-0.0087585,0.02,-0.28
3.325,0.3184763,6.81E-4,-0.67
3.350,0.0000000,-0.02,-0.62
3.375,0.0014604,-0.04,-0.46
3.400,-0.0481994,-0.03,-0.45
3.425,-0.1666823,-0.06,-0.47
3.450,-0.3559239,-0.07,-0.22
3.475,-0.5456415,-0.07,0.28
3.500,-0.7186209,-0.05,0.59
3.525,-0.8600000,-0.03,0.44
3.550,-0.8600000,-0.02,-0.08
3.575,-0.8548337,-0.04,-0.49
3.600,-1.0440753,-0.06,-0.42
3.625,-1.2347035,-0.07,-0.05
3.650,-1.3723255,-0.06,0.26
3.675,-1.5108607,-0.05,0.35
3.700,-1.6145277,-0.04,0.35
3.725,-1.7009890,-0.03,0.36
3.750,-1.7706973,-0.02,0.36
3.775,-1.8055494,-0.01,0.36
3.800,-1.8232000,0.00,0.46
3.825,-1.8236503,0.01,0.88
3.850,-1.8082530,0.03,1.63
3.875,-1.7272354,0.09,2.47
3.900,-1.4603568,0.16,2.90
3.925,-0.8773609,0.25,2.22
3.950,-0.2520215,0.30,0.03
3.975,0.7716145,0.28,-3.26
4.000,1.4599362,0.14,-5.93
4.025,1.5468486,-0.07,-6.29
4.050,1.0244842,-0.24,-3.93
4.075,0.1070227,-0.30,-0.07
4.100,-0.6379580,-0.23,3.23
4.125,-1.2248981,-0.09,4.80
4.150,-1.0919686,0.04,4.62
4.175,-0.7838927,0.15,3.39
4.200,-0.4357462,0.22,1.38
4.225,0.3940037,0.24,-1.36
4.250,1.0592888,0.16,-4.02
4.275,1.3143827,0.01,-5.29
4.300,1.0847043,-0.15,-4.41
4.325,0.4695268,-0.24,-1.78
4.350,-0.3090186,-0.25,1.60
4.375,-0.9566532,-0.16,4.34
4.400,-1.2095508,0.01,5.20
4.425,-1.0213829,0.15,3.86
4.450,-0.1310511,0.22,1.20
4.475,0.2412861,0.21,-1.43
4.500,0.8347447,0.13,-3.28
4.525,1.1225829,0.03,-4.03
4.550,0.9778832,-0.09,-3.62
4.575,0.4743249,-0.18,-2.10
4.600,0.1434125,-0.21,0.27
4.625,-0.6790096,-0.17,2.80
4.650,-1.0180648,-0.06,4.34
4.675,-0.9065843,0.09,4.02
4.700,-0.4634347,0.18,2.00
4.725,0.1224345,0.20,-0.68
4.750,0.6637995,0.14,-2.72
4.775,0.9146303,0.03,-3.44
4.800,0.8194693,-0.06,-2.78
4.825,0.4369370,-0.12,-1.44
4.850,0.2014697,-0.13,-0.05
4.875,-0.2350153,-0.12,1.33
4.900,-0.4405087,-0.07,2.53
4.925,-0.6965109,0.02,2.97
4.950,-0.3908525,0.11,2.05
4.975,0.0580657,0.15,0.12
5.000,0.4402621,0.11,-1.81
5.025,0.6890011,0.04,-2.73
5.050,0.6615999,-0.05,-2.30
5.075,0.3902696,-0.10,-0.97
5.100,-0.0324556,-0.10,0.35
5.125,-0.0973823,-0.06,1.10
5.150,-0.3105611,-0.03,1.54
5.175,-0.2727935,0.00,1.82
5.200,-0.3722243,0.07,1.62
5.225,0.0241679,0.11,0.46
5.250,0.3896654,0.10,-1.18
5.275,0.6024988,0.04,-2.32
5.300,0.5912816,-0.04,-2.40
5.325,0.3705893,-0.10,-1.35
5.350,0.0446407,-0.12,0.35
5.375,-0.3205555,-0.08,1.93
5.400,-0.5589605,0.00,2.40
5.425,-0.2461002,0.07,1.58
5.450,-0.0598546,0.09,0.37
5.475,0.2408000,0.07,-0.46
5.500,0.2339199,0.06,-0.90
5.525,0.4801109,0.03,-1.40
5.550,0.5371800,-0.01,-1.77
5.575,0.4040123,-0.07,-1.46
5.600,0.1120020,-0.10,-0.27
5.625,-0.2001242,-0.10,1.32
5.650,-0.4285654,-0.03,2.39
5.675,-0.4935222,0.05,2.19
5.700,-0.0588837,0.11,0.82
5.725,0.1985483,0.10,-0.67
5.750,0.4840822,0.05,-1.47
5.775,0.3936215,0.01,-1.55
5.800,0.4678728,-0.03,-1.39
5.825,0.3509129,-0.06,-1.05
5.850,0.1110237,-0.09,-0.32
5.875,-0.1661988,-0.09,0.85
5.900,-0.3764831,-0.05,2.01
5.925,-0.4500666,0.03,2.30
5.950,-0.3593463,0.10,1.31
5.975,0.1990389,0.11,-0.38
6.000,0.4673766,0.06,-1.52
6.025,0.3597181,0.01,-1.65
6.050,0.4152753,-0.02,-1.31
6.075,0.3327210,-0.05,-0.91
6.100,0.1272503,-0.08,-0.34
6.125,-0.1150710,-0.08,0.53
6.150,-0.3071969,-0.05,1.34
6.175,-0.3979940,0.00,1.65
6.200,-0.3148851,0.05,1.34
6.225,-0.1271790,0.08,0.51
6.250,0.1150203,0.08,-0.37
6.275,0.3076283,0.05,-1.04
6.300,0.3803775,0.02,-1.44
6.325,0.3071355,-0.02,-1.50
6.350,0.4094586,-0.07,-0.99
6.375,-0.0806634,-0.09,0.18
6.400,-0.2732748,-0.06,1.32
6.425,-0.3459194,0.00,1.75
6.450,-0.2800116,0.04,1.36
6.475,-0.1094994,0.07,0.49
6.500,0.1155093,0.07,-0.43
6.525,0.2904297,0.04,-1.04
6.550,0.3631761,0.00,-1.05
6.575,0.2968343,-0.02,-0.78
6.600,0.1351527,-0.02,-0.62
6.625,0.2285133,-0.05,-0.43
6.650,0.0623361,-0.06,0.29
6.675,-0.3287207,-0.04,1.27
6.700,-0.2623336,0.02,1.56
6.725,-0.1090150,0.06,0.88
6.750,0.0988014,0.06,-0.23
6.775,0.2560325,0.04,-1.04
6.800,0.3282800,0.00,-1.18
6.825,0.2791387,-0.03,-0.70
6.850,0.1429858,-0.04,0.04
6.875,-0.0554852,-0.02,0.41
6.900,0.0879541,0.00,0.27
6.925,0.0167129,-0.01,0.18
6.950,0.0387878,-0.01,0.44
6.975,-0.1257267,0.02,0.69
7.000,0.0644076,0.04,0.33
7.025,0.2211441,0.04,-0.48
7.050,0.3105859,0.01,-1.09
7.075,0.2786463,-0.03,-1.10
7.100,0.1596995,-0.05,-0.45
7.125,-0.0123349,-0.06,0.56
7.150,-0.1872679,-0.02,1.21
7.175,-0.2671469,0.03,0.99
7.200,0.0663596,0.04,0.20
7.225,0.1587195,0.02,-0.25
7.250,0.0133038,0.01,-0.20
7.275,0.1523510,0.02,-0.23
7.300,0.2408000,0.02,-0.57
7.325,0.2432581,-0.01,-0.82
7.350,0.1587195,-0.04,-0.60
7.375,0.0210975,-0.05,0.11
