Time (s) Monitor Run,0,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
0,0,,
0.025,0,0,
0.05,0,0,-6.49E-04
0.075,0,-3.25E-05,0.02
0.1,-4.8675E-06,0,0.02
0.125,1.72E-04,0,-0.01
0.15,0.000176871,0,-0.05
0.175,0,0,-0.05
0.2,0,0,-0.01
0.225,0,0,0.02
0.25,0,0,0.02
0.275,0,0,0.01
0.3,0,0,0.01
0.325,0,-3.25E-05,0.02
0.35,-4.8675E-06,0,0.03
0.375,1.72E-04,0,0.01
0.4,0.000172,0,-0.04
0.425,0.000176871,6.49E-05,-0.06
0.45,0,0,-0.04
0.475,0,0,0.01
0.5,0,0,0.03
0.525,0,0,0.02
0.55,0,0,0.01
0.575,0,0,0
0.6,0,0,0
0.625,0,0,0
0.65,0,0,0
0.675,0,0,0
0.7,0,0,0
0.725,0,0,0
0.75,0,0,0
0.775,0,0,0
0.8,0,0,0
0.825,0,0,0
0.85,0,0,0
0.875,0,0,0
0.9,0,0,0
0.925,0,0,0
0.95,0,0,0
0.975,0,0,0
1,0,0,0
1.025,0,0,0
1.05,0,0,0
1.075,0,0,0
1.1,0,0,0
1.125,0,0,0
1.15,0,0,0
1.175,0,0,0
1.2,0,0,0
1.225,0,0,0
1.25,0,0,0
1.275,0,0,0
1.3,0,0,0
1.325,0,0,0
1.35,0,0,0
1.375,0,0,0
1.4,0,0,0
1.425,0,0,0
1.45,0,0,0
1.475,0,0,0
1.5,0,0,0
1.525,0,0,0
1.55,0,0,0
1.575,0,0,0
1.6,0,0,0
1.625,0,0,0
1.65,0,0,0
1.675,0,0,0
1.7,0,0,0
1.725,0,0,0
1.75,0,0,0
1.775,0,0,0
1.8,0,0,0
1.825,0,0,0
1.85,0,0,0
1.875,0,0,0
1.9,0,0,0
1.925,0,0,0
1.95,0,0,0
1.975,0,0,0
2,0,0,0
2.025,0,0,0
2.05,0,0,0
2.075,0,0,0
2.1,0,0,0
2.125,0,0,0
2.15,0,0,0
2.175,0,0,0
2.2,0,0,0
2.225,0,0,0
2.25,0,0,0
2.275,0,0,-2.16E-04
2.3,0,0,0.01
2.325,0,-3.25E-05,0.02
2.35,-4.8675E-06,0,0.01
2.375,1.77E-04,0,-0.01
2.4,0,3.25E-05,-0.04
2.425,0,0,-0.09
2.45,9.73559E-06,0,-0.18
2.475,-3.25E-04,-0.01,-0.31
2.5,-0.001007763,-0.02,-0.42
2.525,-0.001853356,-0.03,-0.48
2.55,-0.003229576,-0.04,-0.53
2.575,-0.004581912,-0.06,-0.58
2.6,-0.006809029,-0.07,-0.51
2.625,-0.009399165,-0.09,0.06
2.65,-0.011668195,-0.09,1.24
2.675,-0.012843268,-0.03,2.49
2.7,-0.008554806,0.06,3.06
2.725,-0.003908525,0.14,2.54
2.75,0.000492902,0.2,1.23
2.775,0.007457631,0.21,-0.63
2.8,0.011357095,0.17,-2.77
2.825,0.01131244,0.07,-4.37
2.85,0.006908231,-0.08,-4.48
2.875,8.1072E-06,-0.19,-2.63
2.9,-6.42E-03,-0.24,0.48
2.925,-0.010747748,-0.17,3.26
2.95,-0.007681135,-0.03,4.39
2.975,-0.003540732,0.09,3.65
3,1.63286E-06,0.16,1.9
