Time (s) Run #1,Position (m) Run #1
0,1.72E-04
0.025,1.77E-04
0.05,-4.73E-06
0.075,1.77E-04
0.1,0
0.125,0
0.15,0
0.175,0
0.2,0
0.225,0
0.25,0
0.275,0
0.3,0
0.325,0
0.35,0
0.375,0
0.4,0
0.425,0
0.45,0
0.475,0
0.5,0
0.525,0
0.55,0
0.575,0
0.6,0
0.625,0
0.65,0
0.675,0
0.7,0
0.725,0
0.75,0
0.775,0
0.8,0
0.825,0
0.85,0
0.875,0
0.9,0
0.925,0
0.95,0
0.975,0
1,0
1.025,0
1.05,0
1.075,0
1.1,0
1.125,0
1.15,0
1.175,0
1.2,0
1.225,0
1.25,0
1.275,0
1.3,0
1.325,0
1.35,0
1.375,0
1.4,0
1.425,0
1.45,0
1.475,0
1.5,0
1.525,0
1.55,0
1.575,0
1.6,0
1.625,0
1.65,0
1.675,0
1.7,0
1.725,0
1.75,0
1.775,0
1.8,0
1.825,0
1.85,0
1.875,0
1.9,0
1.925,0
1.95,0
1.975,0
2,0
2.025,0
2.05,0
2.075,0
2.1,0
2.125,0
2.15,0
2.175,0
2.2,0
2.225,0
2.25,0
2.275,0
2.3,0
2.325,0
2.35,0
2.375,0
2.4,0
2.425,0
2.45,0
2.475,0
2.5,0
2.525,0
2.55,0
2.575,0
2.6,0
2.625,0
2.65,0
2.675,0
2.7,0
2.725,0
2.75,0
2.775,4.73E-06
2.8,-1.44E-04
2.825,-0.00111
2.85,-0.00463
2.875,-0.01171
2.9,-0.01774
2.925,-0.02361
2.95,-0.02185
2.975,-0.01489
3,-0.00443
3.025,0.00675
3.05,0.01774
3.075,0.02306
3.1,0.0227
3.125,0.01729
3.15,0.00839
3.175,-0.00249
3.2,-0.01205
3.225,-0.01816
3.25,-0.02126
3.275,-0.01741
3.3,-0.00938
3.325,7.66E-04
3.35,0.01047
3.375,0.01731
3.4,0.01952
3.425,0.01689
3.45,0.01006
3.475,0.00112
3.5,-0.00824
3.525,-0.0154
3.55,-0.01879
3.575,-0.01734
3.6,-0.01208
3.625,-0.00385
3.65,0.00513
3.675,0.01227
3.7,0.01617
3.725,0.01611
3.75,0.01223
3.775,0.00555
3.8,-0.00238
3.825,-0.00968
3.85,-0.01442
3.875,-0.01555
3.9,-0.01288
3.925,-0.00691
3.95,4.98E-04
3.975,0.00743
4,0.01233
4.025,0.01429
4.05,0.01396
4.075,0.01302
4.1,0.00891
4.125,0.00411
4.15,-0.00141
4.175,-0.00645
4.2,-0.00979
4.225,-0.01037
4.25,-0.00853
4.275,-0.00477
4.3,-1.32E-04
4.325,0.00469
4.35,0.00946
4.375,0.00968
4.4,0.00817
4.425,0.00511
4.45,8.07E-04
4.475,-0.00352
4.5,-0.00684
4.525,-0.00827
4.55,-0.00763
4.575,-0.00525
4.6,-0.00183
4.625,0.00214
4.65,0.0058
4.675,0.00757
4.7,0.00745
4.725,0.0056
4.75,0.00234
4.775,-0.00129
4.8,-0.00442
4.825,-0.00636
4.85,-0.00657
4.875,-0.0054
4.9,-0.00301
4.925,2.59E-04
4.95,0.00338
4.975,0.00566
5,0.00639
5.025,0.00557
5.05,0.00334
5.075,5.92E-04
5.1,-0.00218
5.125,-0.00428
5.15,-0.00517
5.175,-0.00485
5.2,-0.0035
5.225,-0.00128
5.25,0.00149
5.275,0.00376
5.3,0.00482
5.325,0.00468
5.35,0.00349
5.375,0.00161
5.4,-4.64E-04
5.425,-0.00238
5.45,-0.0036
5.475,-0.00397
5.5,-0.00331
5.525,-0.00177
5.55,1.25E-04
5.575,0.00186
5.6,0.00309
5.625,0.00345
5.65,0.00312
5.675,0.0021
5.7,7.31E-04
5.725,-8.32E-04
5.75,-0.00187
5.775,-0.00275
5.8,-0.00277
5.825,-0.0021
5.85,-8.93E-04
5.875,3.11E-04
5.9,0.00153
5.925,0.00206
5.95,0.00225
5.975,0.00191
6,0.00123
6.025,3.72E-04
6.05,-6.64E-04
6.075,-0.00154
6.1,-0.0019
6.125,-0.00156
6.15,-0.00106
6.175,-1.91E-04
6.2,4.97E-04
6.225,0.0012
6.25,0.00138
6.275,0.00121
6.3,8.74E-04
6.325,3.58E-04
6.35,-1.58E-04
6.375,-6.79E-04
6.4,-0.00103
6.425,-0.00104
6.45,-6.97E-04
6.475,-3.58E-04
6.5,1.67E-04
6.525,3.39E-04
6.55,5.16E-04
6.575,5.21E-04
6.6,3.53E-04
6.625,4.73E-06
6.65,-1.67E-04
6.675,-3.44E-04
6.7,-3.44E-04
6.725,-3.49E-04
6.75,-1.77E-04
6.775,0
6.8,0
6.825,0
6.85,0
6.875,0
6.9,0
6.925,4.73E-06
6.95,-1.72E-04
6.975,-1.77E-04
7,0
7.025,0
7.05,0
7.075,0
7.1,0
7.125,0
7.15,0
7.175,0
7.2,0
7.225,0
7.25,0
7.275,0
7.3,0
7.325,0
7.35,0
7.375,0
7.4,0
7.425,0
7.45,0
7.475,0
7.5,0
7.525,0
7.55,0
7.575,0
7.6,0
7.625,0
7.65,0
7.675,0
7.7,0
7.725,0
7.75,0
7.775,0
7.8,0
7.825,0
7.85,0
7.875,0
7.9,0
7.925,0
7.95,0
7.975,0
8,0
8.025,0
8.05,0
8.075,4.73E-06
8.1,-1.72E-04
8.125,-1.77E-04
8.15,0
8.175,0
8.2,0
8.225,0
8.25,0
