Time (s) Run #1,Position (m) Run #1
0,0
0.025,0
0.05,0
0.075,0
0.1,0
0.125,0
0.15,0
0.175,0
0.2,0
0.225,0
0.25,0
0.275,0
0.3,0
0.325,0
0.35,0
0.375,0
0.4,0
0.425,0
0.45,0
0.475,0
0.5,0
0.525,0
0.55,0
0.575,0
0.6,0
0.625,0
0.65,0
0.675,0
0.7,0
0.725,0
0.75,0
0.775,0
0.8,0
0.825,0
0.85,0
0.875,0
0.9,0
0.925,0
0.95,0
0.975,0
1,0
1.025,0
1.05,0
1.075,0
1.1,0
1.125,0
1.15,0
1.175,0
1.2,0
1.225,0
1.25,0
1.275,0
1.3,0
1.325,0
1.35,0
1.375,0
1.4,0
1.425,0
1.45,0
1.475,0
1.5,0
1.525,4.71E-06
1.55,-1.16E-04
1.575,-0.0021
1.6,-0.00707
1.625,-0.01299
1.65,-0.01619
1.675,-0.01559
1.7,-0.01152
1.725,-0.00501
1.75,0.00222
1.775,0.00899
1.8,0.01338
1.825,0.01468
1.85,0.01253
1.875,0.00741
1.9,7.05E-04
1.925,-0.00622
1.95,-0.01163
1.975,-0.0143
2,-0.01352
2.025,-0.00962
2.05,-0.00362
2.075,0.0031
2.1,0.00919
2.125,0.01288
2.15,0.01366
2.175,0.01133
2.2,0.00619
2.225,2.12E-06
2.25,-0.00641
2.275,-0.01112
2.3,-0.01344
2.325,-0.01248
2.35,-0.00875
2.375,-0.00292
2.4,0.00329
2.425,0.00868
2.45,0.01203
2.475,0.01245
2.5,0.01011
2.525,0.00532
2.55,-5.33E-04
2.575,-0.00625
2.6,-0.01062
2.625,-0.01224
2.65,-0.01128
2.675,-0.00753
2.7,-0.00239
2.725,0.00331
2.75,0.00818
2.775,0.011
2.8,0.01142
2.825,0.00907
2.85,0.00479
2.875,-5.47E-04
2.9,-0.00575
2.925,-0.0096
2.95,-0.01103
2.975,-0.01006
3,-0.00684
3.025,-0.00203
3.05,0.00315
3.075,0.0075
3.1,0.01014
3.125,0.01056
3.15,0.00836
3.175,0.00461
3.2,-3.89E-04
3.225,-0.00507
3.25,-0.00856
3.275,-0.01
3.3,-0.00902
3.325,-0.00613
3.35,-0.00184
3.375,0.00264
3.4,0.00664
3.425,0.00911
3.45,0.00951
3.475,0.00767
3.5,0.00425
3.525,-2.31E-04
3.55,-0.00439
3.575,-0.00736
3.6,-0.00879
3.625,-0.00798
3.65,-0.00561
3.675,-0.00183
3.7,0.00231
3.725,0.00596
3.75,0.00825
3.775,0.00864
3.8,0.00714
3.825,0.00389
3.85,-6.85E-05
3.875,-0.00388
3.9,-0.00668
3.925,-0.00793
3.95,-0.00728
3.975,-0.00508
4,-0.00182
4.025,0.00197
4.05,0.00545
4.075,0.00739
4.1,0.00761
4.125,0.0061
4.15,0.00319
4.175,-2.55E-04
4.2,-0.00355
4.225,-0.00599
4.25,-0.00707
4.275,-0.00641
4.3,-0.00456
4.325,-0.00147
4.35,0.00199
4.375,0.00477
4.4,0.00653
4.425,0.00675
4.45,0.0054
4.475,0.00284
4.5,-2.64E-04
4.525,-0.00321
4.55,-0.00548
4.575,-0.00638
4.6,-0.0059
4.625,-0.00403
4.65,-0.00129
4.675,0.00183
4.7,0.00426
4.725,0.00585
4.75,0.00588
4.775,0.00471
4.8,0.00249
4.825,-4.46E-04
4.85,-0.00304
4.875,-0.00496
4.9,-0.00587
4.925,-0.00521
4.95,-0.00351
4.975,-9.35E-04
5,0.00183
5.025,0.00409
5.05,0.00533
5.075,0.00537
5.1,0.00419
5.125,0.00196
5.15,-6.22E-04
5.175,-0.00305
5.2,-0.00463
5.225,-0.00518
5.25,-0.00451
5.275,-0.00299
5.3,-5.82E-04
5.325,0.00184
5.35,0.00376
5.375,0.00482
5.4,0.00485
5.425,0.00367
5.45,0.00161
5.475,-6.32E-04
5.5,-0.00271
5.525,-0.00429
5.55,-0.00466
5.575,-0.004
5.6,-0.00246
5.625,-4.05E-04
5.65,0.00184
5.675,0.00359
5.7,0.00448
5.725,0.00433
5.75,0.00314
5.775,0.00143
5.8,-6.36E-04
5.825,-0.00255
5.85,-0.00377
5.875,-0.00414
5.9,-0.00365
5.925,-0.00212
5.95,-2.24E-04
5.975,0.00168
6,0.00325
6.025,0.00396
6.05,0.00381
6.075,0.0028
6.1,0.00108
6.125,-6.41E-04
6.15,-0.00238
6.175,-0.00344
6.2,-0.00363
6.225,-0.00313
6.25,-0.00176
6.275,-2.19E-04
6.3,0.00151
6.325,0.00274
6.35,0.00327
6.375,0.00312
6.4,0.00227
6.425,9.03E-04
6.45,-6.50E-04
6.475,-0.00204
6.5,-0.00292
6.525,-0.00311
6.55,-0.00261
6.575,-0.00141
6.6,-2.10E-04
6.625,0.00118
6.65,0.00222
6.675,0.00276
6.7,0.00243
6.725,0.00175
6.75,5.49E-04
6.775,-6.55E-04
6.8,-0.00188
6.825,-0.0024
6.85,-0.00259
6.875,-0.00209
6.9,-0.00124
6.925,-2.82E-05
6.95,0.00101
6.975,0.00171
7,0.00207
7.025,0.00191
7.05,0.00123
7.075,3.68E-04
7.1,-4.93E-04
7.125,-0.00136
7.15,-0.00189
7.175,-0.0019
7.2,-0.00157
7.225,-8.83E-04
7.25,-2.35E-05
7.275,8.46E-04
7.3,0.00137
7.325,0.00172
7.35,0.00156
7.375,0.00105
7.4,3.68E-04
7.425,-4.97E-04
7.45,-0.00119
7.475,-0.00155
7.5,-0.00156
7.525,-0.00122
7.55,-7.07E-04
7.575,-1.88E-05
7.6,6.79E-04
7.625,0.00103
7.65,0.00121
7.675,0.00104
7.7,7.02E-04
7.725,1.91E-04
7.75,-5.07E-04
7.775,-8.55E-04
7.8,-0.00103
7.825,-0.00104
7.85,-8.69E-04
7.875,-5.30E-04
7.9,-9.41E-06
7.925,3.35E-04
7.95,6.83E-04
7.975,8.65E-04
8,6.97E-04
8.025,3.53E-04
8.05,4.71E-06
8.075,-1.63E-04
8.1,-5.11E-04
8.125,-6.88E-04
8.15,-6.93E-04
8.175,-5.21E-04
8.2,-3.53E-04
8.225,-4.71E-06
8.25,1.67E-04
8.275,3.44E-04
8.3,3.44E-04
8.325,3.49E-04
8.35,1.77E-04
8.375,0
8.4,4.71E-06
8.425,-1.67E-04
8.45,-3.44E-04
8.475,-3.49E-04
8.5,-1.72E-04
8.525,-1.72E-04
8.55,-1.72E-04
8.575,-1.72E-04
8.6,-1.72E-04
8.625,-1.72E-04
8.65,-1.72E-04
8.675,-1.72E-04
8.7,-1.72E-04
8.725,-1.72E-04
8.75,-1.72E-04
8.775,-1.72E-04
8.8,-1.72E-04
8.825,-1.72E-04
8.85,-1.72E-04
8.875,-1.77E-04
8.9,0
8.925,0
8.95,0
8.975,0
9,0
9.025,4.71E-06
9.05,-1.72E-04
9.075,-1.77E-04
9.1,0
9.125,0
9.15,0
9.175,0
9.2,0
9.225,0
9.25,0
9.275,0
9.3,4.71E-06
9.325,-1.77E-04
9.35,0
9.375,0
9.4,0
9.425,0
9.45,0
9.475,0
9.5,0
9.525,0
9.55,0
9.575,0
9.6,0
9.625,0
9.65,0
9.675,0
9.7,0
9.725,0
9.75,0
9.775,0
9.8,0
9.825,0
9.85,0
9.875,0
9.9,0
9.925,0
9.95,0
9.975,0
10,0
10.025,0
10.05,0
10.075,0
10.1,0
10.125,0
10.15,0
10.175,0
10.2,0
10.225,0
10.25,0
10.275,0
10.3,0
10.325,0
10.35,0
10.375,0
10.4,0
10.425,0
10.45,0
10.475,0
10.5,0
10.525,0
10.55,0
10.575,0
10.6,0
10.625,0
10.65,0
10.675,0
10.7,0
10.725,0
10.75,0
10.775,0
10.8,0
10.825,0
10.85,0
10.875,0
10.9,0
10.925,0
10.95,0
10.975,0
11,0
11.025,0
11.05,0
11.075,0
11.1,0
11.125,0
11.15,0
11.175,0
11.2,0
11.225,0
11.25,0
11.275,0
11.3,0
