"Time (s) Run #1","Position (m) Run #1"
0.000,0.00000
0.025,0.00000
0.050,0.00000
0.075,0.00000
0.100,0.00000
0.125,0.00000
0.150,0.00000
0.175,0.00000
0.200,0.00000
0.225,0.00000
0.250,0.00000
0.275,0.00000
0.300,0.00000
0.325,0.00000
0.350,0.00000
0.375,0.00000
0.400,0.00000
0.425,0.00000
0.450,0.00000
0.475,0.00000
0.500,0.00000
0.525,0.00000
0.550,0.00000
0.575,0.00000
0.600,0.00000
0.625,0.00000
0.650,0.00000
0.675,0.00000
0.700,0.00000
0.725,0.00000
0.750,0.00000
0.775,0.00000
0.800,0.00000
0.825,0.00000
0.850,0.00000
0.875,0.00000
0.900,0.00000
0.925,0.00000
0.950,0.00000
0.975,0.00000
1.000,0.00000
1.025,0.00000
1.050,0.00000
1.075,0.00000
1.100,0.00000
1.125,0.00000
1.150,0.00000
1.175,0.00000
1.200,0.00000
1.225,0.00000
1.250,0.00000
1.275,0.00000
1.300,0.00000
1.325,0.00000
1.350,0.00000
1.375,0.00000
1.400,0.00000
1.425,0.00000
1.450,0.00000
1.475,0.00000
1.500,0.00000
1.525,0.00000
1.550,0.00000
1.575,0.00000
1.600,0.00000
1.625,0.00000
1.650,4.66817E-6
1.675,-1.44009E-4
1.700,-0.00110
1.725,-0.00497
1.750,-0.01198
1.775,-0.02100
1.800,-0.02756
1.825,-0.02597
1.850,-0.01885
1.875,-0.00807
1.900,0.00450
1.925,0.01594
1.950,0.02401
1.975,0.02659
2.000,0.02329
2.025,0.01529
2.050,0.00412
2.075,-0.00799
2.100,-0.01808
2.125,-0.02441
2.150,-0.02523
2.175,-0.02051
2.200,-0.01182
2.225,-4.70155E-4
2.250,0.01059
2.275,0.01931
2.300,0.02376
2.325,0.02322
2.350,0.01764
2.375,0.00838
2.400,-0.00231
2.425,-0.01254
2.450,-0.01989
2.475,-0.02259
2.500,-0.02046
2.525,-0.01383
2.550,-0.00422
2.575,0.00578
2.600,0.01447
2.625,0.01992
2.650,0.02125
2.675,0.01823
2.700,0.01248
2.725,0.00320
2.750,-0.00703
2.775,-0.01452
2.800,-0.01863
2.825,-0.01662
2.850,-0.01252
2.875,-0.00749
2.900,0.00258
2.925,0.00877
2.950,0.01503
2.975,0.01875
3.000,0.01871
3.025,0.01428
3.050,0.00830
3.075,7.22031E-4
3.100,-0.00695
3.125,-0.01076
3.150,-0.01377
3.175,-0.01329
3.200,-0.01168
3.225,-0.00552
3.250,0.00170
3.275,0.00864
3.300,0.01337
3.325,0.01518
3.350,0.01372
3.375,0.00929
3.400,0.00310
3.425,-0.00346
3.450,-0.00920
3.475,-0.01271
3.500,-0.01365
3.525,-0.01147
3.550,-0.00704
3.575,-8.50787E-4
3.600,0.00520
3.625,0.01007
3.650,0.01273
3.675,0.01263
3.700,0.00994
3.725,0.00532
3.750,-3.76183E-4
3.775,-0.00557
3.800,-0.00975
3.825,-0.01171
3.850,-0.01108
3.875,-0.00821
3.900,-0.00358
3.925,0.00176
3.950,0.00661
3.975,0.01012
4.000,0.01122
4.025,0.00973
4.050,0.00632
4.075,0.00168
4.100,-0.00316
4.125,-0.00733
4.150,-0.00997
4.175,-0.01020
4.200,-0.00818
4.225,-0.00442
4.250,2.17844E-4
4.275,0.00490
4.300,0.00822
4.325,0.00965
4.350,0.00902
4.375,0.00647
4.400,0.00253
4.425,-0.00179
4.450,-0.00578
4.475,-0.00824
4.500,-0.00898
4.525,-0.00764
4.550,-0.00474
4.575,-9.62274E-4
4.600,0.00283
4.625,0.00614
4.650,0.00808
4.675,0.00813
4.700,0.00645
4.725,0.00354
4.750,-7.40014E-5
4.775,-0.00372
4.800,-0.00616
4.825,-0.00741
4.850,-0.00710
4.875,-0.00541
4.900,-0.00250
4.925,7.80377E-4
4.950,0.00373
4.975,0.00582
5.000,0.00673
5.025,0.00607
5.050,0.00420
5.075,0.00146
5.100,-0.00148
5.125,-0.00408
5.150,-0.00584
5.175,-0.00622
5.200,-0.00521
5.225,-0.00317
5.250,-5.90500E-4
5.275,0.00217
5.300,0.00444
5.325,0.00568
5.350,0.00571
5.375,0.00436
5.400,0.00231
5.425,-2.83389E-4
5.450,-0.00253
5.475,-0.00429
5.500,-0.00483
5.525,-0.00451
5.550,-0.00315
5.575,-0.00126
5.600,9.80435E-4
5.625,0.00289
5.650,0.00430
5.675,0.00449
5.700,0.00382
5.725,0.00246
5.750,7.39512E-4
5.775,-0.00116
5.800,-0.00273
5.825,-0.00361
5.850,-0.00363
5.875,-0.00296
5.900,-0.00159
5.925,1.25294E-4
5.950,0.00185
5.975,0.00325
6.000,0.00379
6.025,0.00346
6.050,0.00262
6.075,0.00125
6.100,-3.06704E-4
6.125,-0.00169
6.150,-0.00274
6.175,-0.00311
6.200,-0.00278
6.225,-0.00192
6.250,-7.29881E-4
6.275,8.31892E-4
6.300,0.00187
6.325,0.00258
6.350,0.00259
6.375,0.00208
6.400,0.00141
6.425,2.00032E-4
6.450,-8.32091E-4
6.475,-0.00188
6.500,-0.00224
6.525,-0.00225
6.550,-0.00175
6.575,-7.15923E-4
6.600,3.20628E-4
6.625,0.00119
6.650,0.00189
6.675,0.00207
6.700,0.00173
6.725,0.00123
6.750,1.95360E-4
6.775,-6.69381E-4
6.800,-0.00137
6.825,-0.00172
6.850,-0.00173
6.875,-0.00139
6.900,-7.06616E-4
6.925,-1.86708E-5
6.950,6.73955E-4
6.975,0.00120
7.000,0.00138
7.025,0.00121
7.050,8.78743E-4
7.075,1.86015E-4
7.100,-3.30016E-4
7.125,-8.55349E-4
7.150,-0.00103
7.175,-0.00104
7.200,-8.69301E-4
7.225,-5.25315E-4
7.250,-1.85993E-4
7.275,3.39325E-4
7.300,5.11322E-4
7.325,6.88000E-4
7.350,6.92682E-4
7.375,5.20678E-4
7.400,3.53350E-4
7.425,4.66817E-6
7.450,-1.67335E-4
7.475,-3.44000E-4
7.500,-3.44000E-4
7.525,-3.44000E-4
7.550,-3.48661E-4
7.575,-1.76665E-4
7.600,0.00000
7.625,-4.66799E-6
7.650,1.72000E-4
7.675,1.72000E-4
7.700,1.72000E-4
7.725,1.72000E-4
7.750,1.72000E-4
7.775,1.72000E-4
7.800,1.76672E-4
7.825,0.00000
7.850,0.00000
7.875,0.00000
7.900,0.00000
7.925,0.00000
7.950,0.00000
7.975,0.00000
8.000,0.00000
8.025,0.00000
8.050,0.00000
8.075,0.00000
8.100,0.00000
8.125,-4.66799E-6
8.150,1.76672E-4
8.175,0.00000
8.200,0.00000
8.225,0.00000
8.250,0.00000
8.275,0.00000
8.300,0.00000
8.325,0.00000
8.350,0.00000
8.375,0.00000
8.400,-4.66799E-6
8.425,1.72000E-4
8.450,1.76672E-4
8.475,0.00000
8.500,0.00000
8.525,0.00000
8.550,0.00000
8.575,0.00000
8.600,0.00000
8.625,0.00000
8.650,0.00000
8.675,-4.66799E-6
8.700,1.72000E-4
8.725,1.76672E-4
8.750,0.00000
8.775,0.00000
8.800,0.00000
8.825,0.00000
8.850,0.00000
8.875,0.00000
8.900,0.00000
8.925,0.00000
8.950,0.00000
8.975,-4.66799E-6
9.000,1.72000E-4
9.025,1.76672E-4
9.050,0.00000
9.075,0.00000
9.100,0.00000
9.125,0.00000
9.150,0.00000
9.175,0.00000
9.200,0.00000
9.225,0.00000
9.250,-4.66799E-6
9.275,1.72000E-4
9.300,1.72000E-4
9.325,1.76672E-4
9.350,0.00000
9.375,0.00000
9.400,0.00000
9.425,0.00000
9.450,0.00000
9.475,0.00000
9.500,0.00000
9.525,0.00000
9.550,-4.66799E-6
9.575,1.72000E-4
9.600,1.76672E-4
9.625,0.00000
9.650,0.00000
9.675,0.00000
9.700,0.00000
9.725,0.00000
9.750,0.00000
9.775,0.00000
9.800,0.00000
9.825,-4.66799E-6
9.850,1.72000E-4
9.875,1.72000E-4
9.900,1.72000E-4
9.925,1.76672E-4
9.950,0.00000
9.975,0.00000
10.000,0.00000
10.025,0.00000
10.050,0.00000
10.075,0.00000
10.100,0.00000
10.125,0.00000
10.150,-4.66799E-6
10.175,1.72000E-4
10.200,1.72000E-4
