"Time (s) Run #1","Position (m) Run #1"
0.000,5.30542E-4
0.025,4.83674E-6
0.050,-1.72000E-4
0.075,-1.72000E-4
0.100,-1.72000E-4
0.125,-1.72000E-4
0.150,-1.72000E-4
0.175,-1.72000E-4
0.200,-1.72000E-4
0.225,-1.72000E-4
0.250,-1.72000E-4
0.275,-1.72000E-4
0.300,-1.72000E-4
0.325,-1.72000E-4
0.350,-1.72000E-4
0.375,-1.72000E-4
0.400,-1.72000E-4
0.425,-1.72000E-4
0.450,-1.72000E-4
0.475,-1.72000E-4
0.500,-1.72000E-4
0.525,-1.72000E-4
0.550,-1.72000E-4
0.575,-1.72000E-4
0.600,-1.72000E-4
0.625,-1.72000E-4
0.650,-1.72000E-4
0.675,-1.72000E-4
0.700,-1.72000E-4
0.725,-1.72000E-4
0.750,-1.72000E-4
0.775,-1.72000E-4
0.800,-1.67167E-4
0.825,-3.39170E-4
0.850,-5.11174E-4
0.875,-6.83177E-4
0.900,-8.55180E-4
0.925,-0.00104
0.950,-8.64819E-4
0.975,-6.92823E-4
1.000,-5.25652E-4
1.025,-1.86499E-4
1.050,3.39157E-4
1.075,5.11153E-4
1.100,6.83150E-4
1.125,8.64854E-4
1.150,6.92850E-4
1.175,5.20847E-4
1.200,3.48844E-4
1.225,1.76840E-4
1.250,4.83674E-6
1.275,-1.67167E-4
1.300,-3.39170E-4
1.325,-5.11174E-4
1.350,-6.83177E-4
1.375,-8.60000E-4
1.400,-8.60000E-4
1.425,-8.60000E-4
1.450,-8.64819E-4
1.475,-6.97645E-4
1.500,-3.48830E-4
1.525,-1.81666E-4
1.550,1.67160E-4
1.575,3.39157E-4
1.600,5.11153E-4
1.625,6.88000E-4
1.650,6.88000E-4
1.675,6.92850E-4
1.700,5.20847E-4
1.725,3.48844E-4
1.750,1.81681E-4
1.775,-1.67167E-4
1.800,-3.34340E-4
1.825,-6.83177E-4
1.850,-8.60000E-4
1.875,-8.60000E-4
1.900,-8.60000E-4
1.925,-8.64819E-4
1.950,-6.92823E-4
1.975,-5.20826E-4
2.000,-3.53659E-4
2.025,-4.83654E-6
2.050,1.67160E-4
2.075,3.39157E-4
2.100,5.11153E-4
2.125,6.88000E-4
2.150,6.88000E-4
2.175,6.92850E-4
2.200,5.20847E-4
2.225,3.48844E-4
2.250,1.81681E-4
2.275,-1.67167E-4
2.300,-3.39170E-4
2.325,-5.06347E-4
2.350,-8.60000E-4
2.375,-8.60000E-4
2.400,-8.60000E-4
2.425,-8.64819E-4
2.450,-6.92823E-4
2.475,-5.20826E-4
2.500,-3.53659E-4
2.525,-4.83654E-6
2.550,1.62320E-4
2.575,5.16000E-4
2.600,5.11153E-4
2.625,6.88000E-4
2.650,6.88000E-4
2.675,6.92850E-4
2.700,5.20847E-4
2.725,3.48844E-4
2.750,1.81681E-4
2.775,-1.67167E-4
2.800,-3.34340E-4
2.825,-6.83177E-4
2.850,-8.60000E-4
2.875,-8.60000E-4
2.900,-8.60000E-4
2.925,-8.64819E-4
2.950,-6.92823E-4
2.975,-5.20826E-4
3.000,-3.53659E-4
3.025,-4.83654E-6
3.050,1.67160E-4
3.075,3.39157E-4
3.100,5.11153E-4
3.125,6.88000E-4
3.150,6.88000E-4
3.175,6.92850E-4
3.200,5.20847E-4
3.225,3.48844E-4
3.250,1.81681E-4
3.275,-1.67167E-4
3.300,-3.39170E-4
3.325,-5.06347E-4
3.350,-8.60000E-4
3.375,-8.60000E-4
3.400,-8.60000E-4
3.425,-8.64819E-4
3.450,-6.92823E-4
3.475,-5.25652E-4
3.500,-1.76833E-4
3.525,-4.83654E-6
3.550,1.62320E-4
3.575,5.16000E-4
3.600,5.11153E-4
3.625,6.88000E-4
3.650,6.88000E-4
3.675,6.92850E-4
3.700,5.20847E-4
3.725,3.48844E-4
3.750,1.76840E-4
3.775,9.67367E-6
3.800,-3.39170E-4
3.825,-5.11174E-4
3.850,-6.83177E-4
3.875,-8.60000E-4
3.900,-8.60000E-4
3.925,-8.64819E-4
3.950,-6.92823E-4
3.975,-5.25652E-4
4.000,-1.76833E-4
4.025,-9.67289E-6
4.050,3.39157E-4
4.075,5.11153E-4
4.100,6.88000E-4
4.125,6.88000E-4
4.150,6.88000E-4
4.175,6.92850E-4
4.200,5.20847E-4
4.225,3.48844E-4
4.250,1.76840E-4
4.275,9.67367E-6
4.300,-3.39170E-4
4.325,-5.11174E-4
4.350,-6.83177E-4
4.375,-8.60000E-4
4.400,-8.60000E-4
4.425,-8.64819E-4
4.450,-6.92823E-4
4.475,-5.25652E-4
4.500,-1.76833E-4
4.525,-9.67289E-6
4.550,3.39157E-4
4.575,5.11153E-4
4.600,6.88000E-4
4.625,6.88000E-4
4.650,6.88000E-4
4.675,6.92850E-4
4.700,5.20847E-4
4.725,3.48844E-4
4.750,1.76840E-4
4.775,9.67367E-6
4.800,-3.39170E-4
4.825,-5.11174E-4
4.850,-6.83177E-4
4.875,-8.60000E-4
4.900,-8.60000E-4
4.925,-8.64819E-4
4.950,-6.92823E-4
4.975,-5.20826E-4
5.000,-3.53659E-4
5.025,-4.83654E-6
5.050,1.62320E-4
5.075,5.11153E-4
5.100,6.88000E-4
5.125,6.88000E-4
5.150,6.88000E-4
5.175,6.92850E-4
5.200,5.20847E-4
5.225,3.48844E-4
5.250,1.81681E-4
5.275,-1.67167E-4
5.300,-3.34340E-4
5.325,-6.83177E-4
5.350,-8.60000E-4
5.375,-8.60000E-4
5.400,-8.60000E-4
5.425,-8.64819E-4
5.450,-6.92823E-4
5.475,-5.20826E-4
5.500,-3.53659E-4
5.525,-4.83654E-6
5.550,1.67160E-4
5.575,3.39157E-4
5.600,5.11153E-4
5.625,6.88000E-4
5.650,6.88000E-4
5.675,6.92850E-4
5.700,5.20847E-4
5.725,3.48844E-4
5.750,1.81681E-4
5.775,-1.67167E-4
5.800,-3.34340E-4
5.825,-6.83177E-4
5.850,-8.55180E-4
5.875,-0.00104
5.900,-8.60000E-4
5.925,-8.64819E-4
5.950,-6.92823E-4
5.975,-5.20826E-4
6.000,-3.53659E-4
6.025,-4.83654E-6
6.050,1.67160E-4
6.075,3.39157E-4
6.100,5.11153E-4
6.125,6.88000E-4
6.150,6.88000E-4
6.175,6.92850E-4
6.200,5.20847E-4
6.225,3.48844E-4
6.250,1.81681E-4
6.275,-1.67167E-4
6.300,-3.34340E-4
6.325,-6.83177E-4
6.350,-8.60000E-4
6.375,-8.60000E-4
6.400,-8.60000E-4
6.425,-8.64819E-4
6.450,-6.92823E-4
6.475,-5.20826E-4
6.500,-3.53659E-4
6.525,-4.83654E-6
6.550,1.67160E-4
6.575,3.39157E-4
6.600,5.11153E-4
6.625,6.88000E-4
6.650,6.88000E-4
