"Time (s) Run #1","Position (m) Run #1"
0.000,8.79403E-4
0.025,1.76837E-4
0.050,0.00000
0.075,0.00000
0.100,0.00000
0.125,0.00000
0.150,0.00000
0.175,0.00000
0.200,0.00000
0.225,0.00000
0.250,0.00000
0.275,0.00000
0.300,0.00000
0.325,0.00000
0.350,0.00000
0.375,0.00000
0.400,0.00000
0.425,0.00000
0.450,0.00000
0.475,0.00000
0.500,0.00000
0.525,0.00000
0.550,0.00000
0.575,0.00000
0.600,0.00000
0.625,0.00000
0.650,0.00000
0.675,0.00000
0.700,0.00000
0.725,0.00000
0.750,0.00000
0.775,0.00000
0.800,0.00000
0.825,0.00000
0.850,0.00000
0.875,0.00000
0.900,0.00000
0.925,0.00000
0.950,0.00000
0.975,0.00000
1.000,0.00000
1.025,0.00000
1.050,0.00000
1.075,0.00000
1.100,0.00000
1.125,0.00000
1.150,0.00000
1.175,0.00000
1.200,0.00000
1.225,0.00000
1.250,0.00000
1.275,0.00000
1.300,0.00000
1.325,0.00000
1.350,0.00000
1.375,0.00000
1.400,0.00000
1.425,0.00000
1.450,0.00000
1.475,0.00000
1.500,0.00000
1.525,4.83330E-6
1.550,-1.67170E-4
1.575,-3.34347E-4
1.600,-6.88000E-4
1.625,-6.88000E-4
1.650,-7.02457E-4
1.675,-1.91317E-4
1.700,4.96627E-4
1.725,0.00119
1.750,0.00155
1.775,0.00139
1.800,8.89106E-4
1.825,-1.38187E-4
1.850,-0.00136
1.875,-0.00206
1.900,-0.00226
1.925,-0.00158
1.950,-3.92254E-4
1.975,0.00134
2.000,0.00257
2.025,0.00312
2.050,0.00245
2.075,0.00109
2.100,-9.83865E-4
2.125,-0.00272
2.150,-0.00379
2.175,-0.00348
2.200,-0.00195
2.225,2.76258E-4
2.250,0.00271
2.275,0.00430
2.300,0.00434
2.325,0.00299
2.350,5.93521E-4
2.375,-0.00217
2.400,-0.00445
2.425,-0.00519
2.450,-0.00420
2.475,-0.00163
2.500,0.00147
2.525,0.00443
2.550,0.00587
2.575,0.00523
2.600,0.00285
2.625,-5.91573E-4
2.650,-0.00407
2.675,-0.00619
2.700,-0.00624
2.725,-0.00440
2.750,-8.03611E-4
2.775,0.00336
2.800,0.00634
2.825,0.00727
2.850,0.00578
2.875,0.00219
2.900,-0.00213
2.925,-0.00597
2.950,-0.00776
2.975,-0.00697
3.000,-0.00374
3.025,9.05866E-4
3.050,0.00542
3.075,0.00826
3.100,0.00816
3.125,0.00547
3.150,6.56544E-4
3.175,-0.00437
3.200,-0.00806
3.225,-0.00900
3.250,-0.00700
3.275,-0.00256
3.300,0.00296
3.325,0.00768
3.350,0.00984
3.375,0.00855
3.400,0.00446
3.425,-0.00122
3.450,-0.00680
3.475,-0.00998
3.500,-0.00990
3.525,-0.00635
3.550,-6.89499E-4
3.575,0.00555
3.600,0.00995
3.625,0.01092
3.650,0.00824
3.675,0.00277
3.700,-0.00381
3.725,-0.00923
3.750,-0.01157
3.775,-0.00994
3.800,-0.00500
3.825,0.00171
3.850,0.00815
3.875,0.01188
3.900,0.01148
3.925,0.00725
3.950,3.65620E-4
3.975,-0.00658
4.000,-0.01150
4.025,-0.01248
4.050,-0.00912
4.075,-0.00262
4.100,0.00499
4.125,0.01112
4.150,0.01332
4.175,0.01102
4.200,0.00486
4.225,-0.00273
4.250,-0.00971
4.275,-0.01327
4.300,-0.01235
4.325,-0.00726
4.350,3.03072E-4
4.375,0.00794
4.400,0.01306
4.425,0.01372
4.450,0.00950
4.475,0.00212
4.500,-0.00585
4.525,-0.01198
4.550,-0.01418
4.575,-0.01136
4.600,-0.00470
4.625,0.00375
4.650,0.01090
4.675,0.01466
4.700,0.01342
4.725,0.00747
4.750,-9.82577E-4
4.775,-0.00898
4.800,-0.01410
4.825,-0.01440
4.850,-0.00985
4.875,-0.00179
4.900,0.00704
4.925,0.01353
4.950,0.01559
4.975,0.01209
5.000,0.00456
5.025,-0.00444
5.050,-0.01212
5.075,-0.01553
5.100,-0.01376
5.125,-0.00730
5.150,0.00182
5.175,0.01052
5.200,0.01566
5.225,0.01547
5.250,0.01006
5.275,0.00129
5.300,-0.00791
5.325,-0.01458
5.350,-0.01610
5.375,-0.01226
5.400,-0.00422
5.425,0.00545
5.450,0.01332
5.475,0.01676
5.500,0.01449
5.525,0.00733
5.550,-0.00234
5.575,-0.01122
5.600,-0.01636
5.625,-0.01581
5.650,-0.01005
5.675,-7.85779E-4
5.700,0.00893
5.725,0.01561
5.750,0.01717
5.775,0.01264
5.800,0.00406
5.825,-0.00580
5.850,-0.01385
5.875,-0.01710
5.900,-0.01465
5.925,-0.00715
5.950,0.00284
5.975,0.01206
6.000,0.01740
6.025,0.01653
6.050,0.01044
6.075,6.20199E-4
6.100,-0.00928
6.125,-0.01614
6.150,-0.01749
6.175,-0.01297
6.200,-0.00390
6.225,0.00664
6.250,0.01504
6.275,0.01850
6.300,0.01555
6.325,0.00753
6.350,-0.00301
6.375,-0.01242
6.400,-0.01774
6.425,-0.01685
6.450,-0.01043
6.475,-1.17851E-4
6.500,0.01029
6.525,0.01734
6.550,0.01873
6.575,0.01370
6.600,0.00409
6.625,-0.00665
6.650,-0.01505
6.675,-0.01831
6.700,-0.01535
6.725,-0.00718
6.750,0.00369
6.775,0.01326
6.800,0.01861
6.825,0.01759
6.850,0.01045
6.875,1.18134E-4
6.900,-0.01031
6.925,-0.01717
6.950,-0.01837
6.975,-0.01316
7.000,-0.00340
7.025,0.00749
7.050,0.01625
7.075,0.01954
7.100,0.01625
7.125,0.00771
7.150,-0.00317
7.175,-0.01311
7.200,-0.01843
7.225,-0.01756
7.250,-0.01060
7.275,-1.27500E-4
7.300,0.01062
7.325,0.01802
7.350,0.01960
7.375,0.01422
7.400,0.00462
7.425,-0.00647
7.450,-0.01522
7.475,-0.01882
7.500,-0.01604
7.525,-0.00787
7.550,0.00315
7.575,0.01360
7.600,0.01928
7.625,0.01878
7.650,0.01201
7.675,0.00151
7.700,-0.00943
7.725,-0.01698
7.750,-0.01887
7.775,-0.01435
7.800,-0.00496
7.825,0.00644
7.850,0.01587
7.875,0.02021
7.900,0.01744
7.925,0.00944
7.950,-0.00160
7.975,-0.01205
8.000,-0.01841
8.025,-0.01840
8.050,-0.01214
8.075,-0.00186
8.100,0.00940
8.125,0.01765
8.150,0.02009
8.175,0.01576
8.200,0.00651
8.225,-0.00473
8.250,-0.01433
8.275,-0.01914
8.300,-0.01741
8.325,-0.00959
8.350,0.00141
8.375,0.01236
8.400,0.01925
8.425,0.01997
8.450,0.01389
8.475,0.00376
8.500,-0.00750
8.525,-0.01644
8.550,-0.01953
8.575,-0.01606
8.600,-0.00719
8.625,0.00435
8.650,0.01463
8.675,0.02034
8.700,0.01897
8.725,0.01167
8.750,8.26383E-4
8.775,-0.01029
8.800,-0.01785
8.825,-0.01940
8.850,-0.01437
