"Time (s) Run #1","Position (m) Run #1"
0.000,8.79403E-4
0.025,1.76837E-4
0.050,0.00000
0.075,0.00000
0.100,0.00000
0.125,0.00000
0.150,0.00000
0.175,0.00000
0.200,0.00000
0.225,0.00000
0.250,0.00000
0.275,0.00000
0.300,0.00000
0.325,0.00000
0.350,0.00000
0.375,0.00000
0.400,0.00000
0.425,0.00000
0.450,0.00000
0.475,0.00000
0.500,0.00000
0.525,0.00000
0.550,0.00000
0.575,0.00000
0.600,0.00000
0.625,0.00000
0.650,0.00000
0.675,0.00000
0.700,0.00000
0.725,0.00000
0.750,0.00000
0.775,0.00000
0.800,0.00000
0.825,0.00000
0.850,0.00000
0.875,0.00000
0.900,0.00000
0.925,0.00000
0.950,0.00000
0.975,0.00000
1.000,0.00000
1.025,0.00000
1.050,0.00000
1.075,0.00000
1.100,0.00000
1.125,0.00000
1.150,0.00000
1.175,0.00000
1.200,0.00000
1.225,0.00000
1.250,4.83330E-6
1.275,-1.67170E-4
1.300,-3.34347E-4
1.325,-6.88000E-4
1.350,-6.88000E-4
1.375,-6.97638E-4
1.400,-3.58478E-4
1.425,1.52655E-4
1.450,8.45450E-4
1.475,0.00138
1.500,0.00139
1.525,0.00106
1.550,2.05861E-4
1.575,-0.00101
1.600,-0.00188
1.625,-0.00225
1.650,-0.00193
1.675,-7.26549E-4
1.700,6.44385E-4
1.725,0.00222
1.750,0.00293
1.775,0.00261
1.800,0.00142
1.825,-2.90899E-4
1.850,-0.00220
1.875,-0.00344
1.900,-0.00365
1.925,-0.00247
1.950,-4.06726E-4
1.975,0.00184
2.000,0.00377
2.025,0.00432
2.050,0.00350
2.075,0.00145
2.100,-0.00131
2.125,-0.00375
2.150,-0.00500
2.175,-0.00470
2.200,-0.00267
2.225,4.33688E-4
2.250,0.00338
2.275,0.00550
2.300,0.00555
2.325,0.00387
2.350,7.84978E-4
2.375,-0.00268
2.400,-0.00548
2.425,-0.00640
2.450,-0.00525
2.475,-0.00217
2.500,0.00179
2.525,0.00528
2.550,0.00707
2.575,0.00645
2.600,0.00355
2.625,-4.05023E-4
2.650,-0.00440
2.675,-0.00705
2.700,-0.00728
2.725,-0.00510
2.750,-9.85151E-4
2.775,0.00351
2.800,0.00719
2.825,0.00831
2.850,0.00665
2.875,0.00272
2.900,-0.00212
2.925,-0.00630
2.950,-0.00862
2.975,-0.00801
3.000,-0.00461
3.025,5.47520E-4
3.050,0.00558
3.075,0.00894
3.100,0.00920
3.125,0.00634
3.150,0.00118
3.175,-0.00419
3.200,-0.00839
3.225,-0.00985
3.250,-0.00804
3.275,-0.00343
3.300,0.00261
3.325,0.00784
3.350,0.01052
3.375,0.00959
3.400,0.00533
3.425,-7.00967E-4
3.450,-0.00643
3.475,-0.01032
3.500,-0.01058
3.525,-0.00738
3.550,-0.00156
3.575,0.00502
3.600,0.00993
3.625,0.01159
3.650,0.00945
3.675,0.00398
3.700,-0.00293
3.725,-0.00887
3.750,-0.01172
3.775,-0.01079
3.800,-0.00621
3.825,6.70982E-4
3.850,0.00744
3.875,0.01186
3.900,0.01233
3.925,0.00845
3.950,0.00192
3.975,-0.00535
4.000,-0.01096
4.025,-0.01280
4.050,-0.01031
4.075,-0.00434
4.100,0.00343
4.125,0.01006
4.150,0.01328
4.175,0.01202
4.200,0.00693
4.225,-6.52734E-4
4.250,-0.00813
4.275,-0.01290
4.300,-0.01318
4.325,-0.00914
4.350,-0.00177
4.375,0.00620
4.400,0.01216
4.425,0.01402
4.450,0.01120
4.475,0.00470
4.500,-0.00342
4.525,-0.01040
4.550,-0.01397
4.575,-0.01270
4.600,-0.00727
4.625,8.08929E-4
4.650,0.00880
4.675,0.01392
4.700,0.01441
4.725,0.00986
4.750,0.00213
4.775,-0.00637
4.800,-0.01267
4.825,-0.01487
4.850,-0.01188
4.875,-0.00489
4.900,0.00409
4.925,0.01159
4.950,0.01535
4.975,0.01394
5.000,0.00782
5.025,-8.00775E-4
5.050,-0.00915
5.075,-0.01444
5.100,-0.01474
5.125,-0.01020
5.150,-0.00196
5.175,0.00686
5.200,0.01353
5.225,0.01575
5.250,0.01261
5.275,0.00507
5.300,-0.00392
5.325,-0.01159
5.350,-0.01552
5.375,-0.01410
5.400,-0.00781
5.425,0.00113
5.450,0.00982
5.475,0.01530
5.500,0.01563
5.525,0.01074
5.550,0.00215
5.575,-0.00704
5.600,-0.01388
5.625,-0.01609
5.650,-0.01276
5.675,-0.00525
5.700,0.00425
5.725,0.01227
5.750,0.01622
5.775,0.01464
5.800,0.00818
5.825,-9.63303E-4
5.850,-0.00966
5.875,-0.01530
5.900,-0.01561
5.925,-0.01073
5.950,-0.00198
5.975,0.00736
6.000,0.01456
6.025,0.01662
6.050,0.01313
6.075,0.00526
6.100,-0.00425
6.125,-0.01246
6.150,-0.01639
6.175,-0.01479
6.200,-0.00834
6.225,0.00112
6.250,0.01033
6.275,0.01599
6.300,0.01633
6.325,0.01109
6.350,0.00233
6.375,-0.00703
6.400,-0.01422
6.425,-0.01660
6.450,-0.01328
6.475,-0.00542
6.500,0.00423
6.525,0.01296
6.550,0.01691
6.575,0.01533
6.600,0.00888
6.625,-7.81486E-4
6.650,-0.00982
6.675,-0.01581
6.700,-0.01630
6.725,-0.01141
6.750,-0.00268
6.775,0.00718
6.800,0.01472
6.825,0.01730
6.850,0.01400
6.875,0.00613
6.900,-0.00355
6.925,-0.01210
6.950,-0.01655
6.975,-0.01530
7.000,-0.00903
7.025,4.26547E-4
7.050,0.00980
7.075,0.01598
7.100,0.01683
7.125,0.01195
7.150,0.00338
7.175,-0.00651
7.200,-0.01403
7.225,-0.01694
7.250,-0.01396
7.275,-0.00646
7.300,0.00336
7.325,0.01225
7.350,0.01689
7.375,0.01601
7.400,0.00974
7.425,2.61275E-4
7.450,-0.00912
7.475,-0.01563
7.500,-0.01663
7.525,-0.01227
7.550,-0.00354
7.575,0.00631
7.600,0.01418
7.625,0.01747
7.650,0.01450
7.675,0.00699
7.700,-0.00286
7.725,-0.01157
7.750,-0.01653
7.775,-0.01581
7.800,-0.00988
7.825,-6.09156E-4
7.850,0.00892
7.875,0.01579
7.900,0.01716
7.925,0.01281
7.950,0.00423
7.975,-0.00546
8.000,-0.01350
8.025,-0.01692
8.050,-0.01447
8.075,-0.00732
8.100,0.00250
8.125,0.01154
8.150,0.01688
8.175,0.01635
8.200,0.01042
8.225,0.00113
8.250,-0.00842
8.275,-0.01510
8.300,-0.01679
8.325,-0.01278
8.350,-0.00457
8.375,0.00527
8.400,0.01348
8.425,0.01727
8.450,0.01518
8.475,0.00802
8.500,-0.00164
8.525,-0.01069
8.550,-0.01617
8.575,-0.01614
8.600,-0.01074
8.625,-0.00164
8.650,0.00788
8.675,0.01508
8.700,0.01715
8.725,0.01331
8.750,0.00526
8.775,-0.00442
8.800,-0.01262
8.825,-0.01673
