"Time (s) Run #1","Position (m) Run #1"
0.000,8.79417E-4
0.025,1.76840E-4
0.050,0.00000
0.075,0.00000
0.100,0.00000
0.125,0.00000
0.150,0.00000
0.175,0.00000
0.200,0.00000
0.225,0.00000
0.250,0.00000
0.275,0.00000
0.300,0.00000
0.325,0.00000
0.350,0.00000
0.375,0.00000
0.400,0.00000
0.425,0.00000
0.450,0.00000
0.475,0.00000
0.500,0.00000
0.525,0.00000
0.550,0.00000
0.575,0.00000
0.600,0.00000
0.625,0.00000
0.650,0.00000
0.675,0.00000
0.700,0.00000
0.725,0.00000
0.750,0.00000
0.775,0.00000
0.800,0.00000
0.825,0.00000
0.850,0.00000
0.875,0.00000
0.900,0.00000
0.925,0.00000
0.950,0.00000
0.975,0.00000
1.000,0.00000
1.025,0.00000
1.050,0.00000
1.075,0.00000
1.100,0.00000
1.125,0.00000
1.150,0.00000
1.175,0.00000
1.200,0.00000
1.225,0.00000
1.250,0.00000
1.275,0.00000
1.300,0.00000
1.325,0.00000
1.350,0.00000
1.375,0.00000
1.400,0.00000
1.425,0.00000
1.450,0.00000
1.475,0.00000
1.500,0.00000
1.525,0.00000
1.550,0.00000
1.575,0.00000
1.600,0.00000
1.625,0.00000
1.650,0.00000
1.675,0.00000
1.700,0.00000
1.725,0.00000
1.750,0.00000
1.775,0.00000
1.800,0.00000
1.825,0.00000
1.850,0.00000
1.875,0.00000
1.900,0.00000
1.925,0.00000
1.950,0.00000
1.975,0.00000
2.000,0.00000
2.025,0.00000
2.050,0.00000
2.075,0.00000
2.100,0.00000
2.125,0.00000
2.150,0.00000
2.175,0.00000
2.200,0.00000
2.225,0.00000
2.250,0.00000
2.275,0.00000
2.300,0.00000
2.325,0.00000
2.350,0.00000
2.375,0.00000
2.400,0.00000
2.425,0.00000
2.450,0.00000
2.475,0.00000
2.500,0.00000
2.525,0.00000
2.550,0.00000
2.575,0.00000
2.600,0.00000
2.625,0.00000
2.650,0.00000
2.675,0.00000
2.700,0.00000
2.725,0.00000
2.750,0.00000
2.775,0.00000
2.800,0.00000
2.825,0.00000
2.850,0.00000
2.875,0.00000
2.900,0.00000
2.925,0.00000
2.950,0.00000
2.975,0.00000
3.000,0.00000
3.025,0.00000
3.050,0.00000
3.075,0.00000
3.100,0.00000
3.125,0.00000
3.150,0.00000
3.175,0.00000
3.200,0.00000
3.225,0.00000
3.250,0.00000
3.275,0.00000
3.300,0.00000
3.325,0.00000
3.350,0.00000
3.375,0.00000
3.400,0.00000
3.425,0.00000
3.450,0.00000
3.475,0.00000
3.500,0.00000
3.525,0.00000
3.550,0.00000
3.575,0.00000
3.600,4.83674E-6
3.625,-1.67167E-4
3.650,-3.39170E-4
3.675,-5.06347E-4
3.700,-8.60000E-4
3.725,-8.64819E-4
3.750,-6.97645E-4
3.775,-3.63317E-4
3.800,3.24627E-4
3.825,0.00102
3.850,0.00137
3.875,0.00155
3.900,0.00140
3.925,7.12254E-4
3.950,-1.42997E-4
3.975,-0.00118
4.000,-0.00189
4.025,-0.00207
4.050,-0.00174
4.075,-8.88913E-4
4.100,1.38124E-4
4.125,0.00136
4.150,0.00206
4.175,0.00225
4.200,0.00192
4.225,0.00107
4.250,-1.42997E-4
4.275,-0.00118
4.300,-0.00188
4.325,-0.00225
4.350,-0.00192
4.375,-0.00106
4.400,-2.41808E-5
4.425,8.40586E-4
4.450,0.00154
4.475,0.00190
4.500,0.00174
4.525,0.00105
4.550,3.63376E-4
4.575,-3.29510E-4
4.600,-8.50361E-4
4.625,-0.00120
4.650,-0.00121
4.675,-0.00104
4.700,-6.97645E-4
4.725,-3.58488E-4
4.750,1.62320E-4
4.775,5.06306E-4
4.800,8.55146E-4
4.825,0.00103
4.850,0.00104
4.875,8.69708E-4
4.900,5.25694E-4
4.925,1.86521E-4
4.950,-3.29510E-4
4.975,-8.50361E-4
5.000,-0.00120
5.025,-0.00138
5.050,-0.00122
5.075,-7.07290E-4
5.100,-1.93450E-5
5.125,6.68600E-4
5.150,0.00137
5.175,0.00172
5.200,0.00156
5.225,0.00123
5.250,3.68220E-4
5.275,-4.96693E-4
5.300,-0.00119
5.325,-0.00172
5.350,-0.00191
5.375,-0.00140
5.400,-7.12112E-4
5.425,1.47802E-4
5.450,0.00101
5.475,0.00172
5.500,0.00190
5.525,0.00156
5.550,0.00106
5.575,1.96203E-4
5.600,-6.68707E-4
5.625,-0.00137
5.650,-0.00172
5.675,-0.00156
5.700,-0.00122
5.725,-5.35304E-4
5.750,1.52641E-4
5.775,8.50293E-4
5.800,0.00120
5.825,0.00138
5.850,0.00121
5.875,8.74562E-4
5.900,3.63376E-4
5.925,-3.29510E-4
5.950,-8.55180E-4
5.975,-0.00103
6.000,-0.00121
6.025,-0.00104
6.050,-8.74457E-4
6.075,-3.58488E-4
6.100,1.57481E-4
6.125,6.73450E-4
6.150,0.00120
6.175,0.00138
6.200,0.00121
6.225,8.74562E-4
6.250,3.63376E-4
6.275,-3.24679E-4
6.300,-0.00102
6.325,-0.00137
6.350,-0.00155
6.375,-0.00139
6.400,-8.84095E-4
6.425,-1.93450E-5
6.450,6.68600E-4
6.475,0.00137
6.500,0.00172
6.525,0.00173
6.550,0.00122
6.575,5.40237E-4
6.600,-3.24679E-4
6.625,-0.00102
6.650,-0.00154
6.675,-0.00173
6.700,-0.00140
6.725,-7.07290E-4
6.750,-2.41808E-5
6.775,8.45439E-4
6.800,0.00137
6.825,0.00172
6.850,0.00156
6.875,0.00105
6.900,5.40237E-4
6.925,-3.29510E-4
6.950,-8.45541E-4
6.975,-0.00138
7.000,-0.00138
7.025,-0.00122
7.050,-7.02468E-4
7.075,-1.91331E-4
7.100,5.01460E-4
7.125,0.00102
7.150,0.00138
7.175,0.00138
7.200,0.00122
7.225,7.02552E-4
7.250,1.91362E-4
7.275,-5.01520E-4
7.300,-0.00102
7.325,-0.00138
7.350,-0.00139
7.375,-0.00105
7.400,-5.30478E-4
7.425,-1.93450E-5
7.450,6.73450E-4
7.475,0.00119
7.500,0.00155
7.525,0.00156
7.550,0.00105
7.575,5.35389E-4
7.600,-1.52666E-4
7.625,-8.45541E-4
7.650,-0.00137
7.675,-0.00155
7.700,-0.00139
7.725,-8.79276E-4
7.750,-1.96164E-4
7.775,6.68600E-4
7.800,0.00137
7.825,0.00172
7.850,0.00173
7.875,0.00140
7.900,7.12254E-4
