"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-0.02217,,
0.025,-0.02270,-0.01,
0.050,-0.02288,-0.01,0.28
0.075,-0.02288,-5.84E-5,0.16
0.100,-0.02288,0.00,0.06
0.125,-0.02270,0.00,-0.01
0.150,-0.02270,0.00,-0.03
0.175,-0.02270,0.00,-0.02
0.200,-0.02270,0.00,0.01
0.225,-0.02270,-5.84E-5,0.08
0.250,-0.02270,0.00,0.35
0.275,-0.02271,0.01,1.06
0.300,-0.02239,0.04,2.33
0.325,-0.02142,0.12,3.65
0.350,-0.01776,0.24,3.94
0.375,-0.00942,0.36,2.25
0.400,0.00194,0.39,-1.29
0.425,0.01253,0.31,-5.25
0.450,0.01946,0.10,-7.65
0.475,0.01882,-0.14,-7.22
0.500,0.01079,-0.31,-4.15
0.525,7.97450E-4,-0.36,0.14
0.550,-0.00929,-0.29,4.06
0.575,-0.01581,-0.13,6.43
0.600,-0.01664,0.07,6.64
0.625,-0.01193,0.24,4.70
0.650,-0.00320,0.33,1.20
0.675,0.00667,0.31,-2.70
0.700,0.01420,0.18,-5.70
0.725,0.01679,-0.01,-6.73
0.750,0.01349,-0.20,-5.39
0.775,0.00527,-0.32,-2.12
0.800,-0.00477,-0.32,1.86
0.825,-0.01298,-0.21,5.13
0.850,-0.01674,-0.03,6.56
0.875,-0.01463,0.16,5.77
0.900,-0.00783,0.29,3.08
0.925,0.00164,0.33,-0.64
0.950,0.01067,0.26,-4.16
0.975,0.01636,0.10,-6.25
1.000,0.01599,-0.10,-6.16
1.025,0.01058,-0.25,-4.00
1.050,0.00181,-0.32,-0.60
1.075,-0.00739,-0.28,2.89
1.100,-0.01387,-0.16,5.38
1.125,-0.01626,0.02,6.12
1.150,-0.01292,0.19,4.85
1.175,-0.00558,0.29,1.98
1.200,0.00340,0.30,-1.51
1.225,0.01107,0.21,-4.47
1.250,0.01501,0.05,-5.87
1.275,0.01359,-0.13,-5.24
1.300,0.00764,-0.25,-2.85
1.325,-6.47758E-4,-0.29,0.39
1.350,-0.00830,-0.23,3.36
1.375,-0.01324,-0.09,5.08
1.400,-0.01353,0.06,5.05
1.425,-0.00947,0.19,3.38
1.450,-0.00278,0.25,0.67
1.475,0.00449,0.23,-2.17
1.500,0.00993,0.13,-4.19
1.525,0.01160,-0.01,-4.71
1.550,0.00911,-0.14,-3.57
1.575,0.00345,-0.21,-1.22
1.600,-0.00313,-0.21,1.44
1.625,-0.00820,-0.13,3.46
1.650,-0.01037,-0.01,4.19
1.675,-0.00873,0.11,3.42
1.700,-0.00412,0.18,1.48
1.725,0.00176,0.19,-0.94
1.750,0.00664,0.13,-2.96
1.775,0.00916,0.02,-3.86
1.800,0.00786,-0.09,-3.35
1.825,0.00376,-0.17,-1.66
1.850,-0.00158,-0.18,0.59
1.875,-0.00664,-0.13,2.62
1.900,-0.00931,-0.04,3.72
1.925,-0.00870,0.08,3.52
1.950,-0.00497,0.16,2.06
1.975,5.37731E-4,0.19,-0.14
2.000,0.00592,0.16,-2.32
2.025,0.00946,0.06,-3.73
2.050,0.00956,-0.05,-3.84
2.075,0.00635,-0.15,-2.61
2.100,8.53026E-4,-0.20,-0.48
2.125,-0.00505,-0.18,1.82
2.150,-0.00925,-0.10,3.52
2.175,-0.01073,0.02,4.07
2.200,-0.00839,0.13,3.34
2.225,-0.00344,0.20,1.55
2.250,0.00277,0.22,-0.84
2.275,0.00832,0.16,-3.15
2.300,0.01224,0.04,-4.48
2.325,0.01134,-0.10,-4.14
2.350,0.00602,-0.20,-2.27
2.375,-7.55938E-6,-0.22,0.25
2.400,-0.00592,-0.17,2.48
2.425,-0.00979,-0.08,3.80
2.450,-0.01039,0.04,3.91
2.475,-0.00771,0.14,2.81
2.500,-0.00257,0.19,0.82
2.525,0.00314,0.18,-1.38
2.550,0.00769,0.11,-3.07
2.575,0.00950,0.01,-3.70
2.600,0.00820,-0.09,-3.07
2.625,0.00410,-0.16,-1.46
2.650,-0.00108,-0.17,0.56
2.675,-0.00561,-0.13,2.29
2.700,-0.00827,-0.04,3.19
2.725,-0.00799,0.05,3.00
2.750,-0.00528,0.12,1.83
2.775,-9.80426E-4,0.15,0.08
2.800,0.00336,0.13,-1.64
2.825,0.00636,0.06,-2.72
2.850,0.00660,-0.03,-2.77
2.875,0.00458,-0.10,-1.83
2.900,9.66831E-4,-0.13,-0.30
2.925,-0.00285,-0.11,1.25
2.950,-0.00549,-0.06,2.30
2.975,-0.00606,0.02,2.50
3.000,-0.00456,0.08,1.81
3.025,-0.00131,0.12,0.47
3.050,0.00233,0.11,-1.02
3.075,0.00497,0.06,-2.12
3.100,0.00572,-0.01,-2.45
3.125,0.00439,-0.08,-1.89
3.150,0.00131,-0.12,-0.65
3.175,-0.00233,-0.12,0.85
3.200,-0.00530,-0.07,2.07
3.225,-0.00640,0.00,2.57
3.250,-0.00525,0.08,2.15
3.275,-0.00217,0.12,0.95
3.300,0.00180,0.13,-0.60
3.325,0.00511,0.09,-1.96
3.350,0.00690,0.02,-2.68
3.375,0.00627,-0.06,-2.51
3.400,0.00356,-0.12,-1.47
3.425,-5.77023E-4,-0.14,0.09
3.450,-0.00457,-0.12,1.64
3.475,-0.00722,-0.05,2.65
3.500,-0.00745,0.03,2.79
3.525,-0.00544,0.10,2.03
3.550,-0.00167,0.14,0.61
3.575,0.00265,0.14,-1.01
3.600,0.00615,0.09,-2.31
3.625,0.00760,0.01,-2.86
3.650,0.00663,-0.07,-2.47
3.675,0.00356,-0.13,-1.30
3.700,-5.77023E-4,-0.14,0.28
3.725,-0.00458,-0.11,1.75
3.750,-0.00688,-0.05,2.62
3.775,-0.00711,0.03,2.62
3.800,-0.00492,0.10,1.74
3.825,-0.00131,0.13,0.33
3.850,0.00250,0.12,-1.12
3.875,0.00531,0.07,-2.12
3.900,0.00623,0.00,-2.37
3.925,0.00506,-0.07,-1.85
3.950,0.00250,-0.10,-0.77
3.975,-7.82864E-4,-0.11,0.51
4.000,-0.00357,-0.07,1.55
4.025,-0.00500,-0.02,2.00
4.050,-0.00452,0.04,1.74
4.075,-0.00265,0.08,0.89
4.100,-6.76940E-5,0.09,-0.20
4.125,0.00237,0.07,-1.13
4.150,0.00362,0.02,-1.59
4.175,0.00348,-0.03,-1.45
4.200,0.00212,-0.06,-0.81
4.225,5.32147E-5,-0.07,0.07
4.250,-0.00186,-0.05,0.89
4.275,-0.00310,-0.02,1.37
4.300,-0.00296,0.02,1.34
4.325,-0.00178,0.06,0.80
4.350,2.90733E-4,0.07,-0.07
4.375,0.00220,0.05,-0.92
4.400,0.00345,0.02,-1.42
4.425,0.00314,-0.03,-1.38
4.450,0.00178,-0.06,-0.83
4.475,-2.81197E-4,-0.07,0.02
4.500,-0.00255,-0.06,0.90
4.525,-0.00378,-0.03,1.50
4.550,-0.00399,0.02,1.61
4.575,-0.00265,0.07,1.14
4.600,-2.44476E-4,0.09,0.24
4.625,0.00235,0.08,-0.79
4.650,0.00429,0.04,-1.56
4.675,0.00485,-0.01,-1.81
4.700,0.00385,-0.06,-1.46
4.725,0.00163,-0.09,-0.65
4.750,-0.00114,-0.09,0.37
4.775,-0.00357,-0.07,1.29
4.800,-0.00499,-0.02,1.81
4.825,-0.00486,0.03,1.78
4.850,-0.00317,0.08,1.19
4.875,-5.98020E-4,0.10,0.21
4.900,0.00235,0.09,-0.84
4.925,0.00445,0.05,-1.62
4.950,0.00518,0.00,-1.87
4.975,0.00436,-0.05,-1.51
5.000,0.00214,-0.09,-0.68
5.025,-4.48413E-4,-0.09,0.31
5.050,-0.00289,-0.07,1.14
5.075,-0.00413,-0.03,1.57
5.100,-0.00416,0.02,1.51
5.125,-0.00298,0.06,0.99
5.150,-9.22636E-4,0.08,0.19
5.175,0.00133,0.07,-0.63
5.200,0.00291,0.04,-1.19
5.225,0.00346,-2.04E-4,-1.29
5.250,0.00279,-0.03,-0.93
5.275,0.00142,-0.05,-0.32
5.300,-1.38163E-4,-0.05,0.29
5.325,-0.00136,-0.03,0.72
5.350,-0.00190,-0.01,0.85
5.375,-0.00174,0.01,0.68
5.400,-0.00106,0.03,0.30
5.425,-2.41808E-5,0.03,-0.15
5.450,8.55146E-4,0.02,-0.49
5.475,0.00104,0.00,-0.59
5.500,8.79417E-4,-0.01,-0.43
5.525,1.91362E-4,-0.02,-0.09
5.550,-5.01520E-4,-0.02,0.28
5.575,-0.00104,-0.01,0.53
5.600,-8.74457E-4,0.01,0.53
5.625,-3.68146E-4,0.03,0.31
5.650,4.91768E-4,0.03,-0.06
5.675,0.00137,0.02,-0.44
5.700,0.00172,0.01,-0.69
5.725,0.00174,-0.02,-0.70
5.750,8.93982E-4,-0.04,-0.44
5.775,-3.10187E-4,-0.04,0.00
5.800,-0.00153,-0.03,0.46
5.825,-0.00223,-0.02,0.80
5.850,-0.00242,0.01,0.91
5.875,-0.00193,0.03,0.74
5.900,-5.59429E-4,0.05,0.31
5.925,9.98004E-4,0.05,-0.24
5.950,0.00221,0.04,-0.74
5.975,0.00310,0.01,-1.03
6.000,0.00295,-0.02,-1.01
6.025,0.00194,-0.05,-0.68
6.050,3.87600E-4,-0.06,-0.15
6.075,-0.00117,-0.05,0.42
6.100,-0.00257,-0.03,0.87
6.125,-0.00311,-0.01,1.08
6.150,-0.00278,0.03,0.97
6.175,-0.00177,0.05,0.57
6.200,-4.35219E-5,0.06,0.01
6.225,0.00152,0.05,-0.53
6.250,0.00257,0.03,-0.89
6.275,0.00293,-3.99E-4,-0.98
6.300,0.00261,-0.03,-0.80
6.325,0.00141,-0.04,-0.40
6.350,3.38612E-5,-0.05,0.10
6.375,-0.00118,-0.04,0.51
6.400,-0.00206,-0.02,0.74
6.425,-0.00225,0.00,0.74
6.450,-0.00174,0.02,0.54
6.475,-0.00106,0.03,0.23
6.500,-2.41808E-5,0.03,-0.11
6.525,8.45439E-4,0.03,-0.37
6.550,0.00138,0.01,-0.48
6.575,0.00138,0.00,-0.43
6.600,0.00122,-0.01,-0.26
6.625,6.97701E-4,-0.01,-0.07
6.650,3.53687E-4,-0.01,0.08
6.675,4.83674E-6,-0.01,0.15
6.700,-1.72000E-4,0.00,0.12
6.725,-1.72000E-4,0.00,0.04
6.750,-1.67167E-4,0.00,-0.02
6.775,-3.39170E-4,0.00,-0.01
6.800,-5.16000E-4,0.00,0.04
