"Time (s) Run #1","Position (m) Run #1"
0.000,-0.01105
0.025,-0.00928
0.050,-0.00946
0.075,-0.00946
0.100,-0.00946
0.125,-0.00959
0.150,-0.01099
0.175,-0.01152
0.200,-0.01152
0.225,-0.01152
0.250,-0.01169
0.275,-0.01186
0.300,-0.01202
0.325,-0.01287
0.350,-0.01409
0.375,-0.01480
0.400,-0.01465
0.425,-0.01361
0.450,-0.01273
0.475,-0.01273
0.500,-0.01274
0.525,-0.01244
0.550,-0.01046
0.575,-0.00534
0.600,0.00138
0.625,0.00731
0.650,0.01035
0.675,0.00957
0.700,0.00584
0.725,-7.55938E-6
0.750,-0.00593
0.775,-0.00946
0.800,-0.00939
0.825,-0.00585
0.850,5.08668E-4
0.875,0.00695
0.900,0.01069
0.925,0.00989
0.950,0.00703
0.975,0.00189
1.000,-0.00400
1.025,-0.00873
1.050,-0.01037
1.075,-0.00856
1.100,-0.00383
1.125,0.00420
1.150,0.00766
1.175,0.01052
1.200,0.00975
1.225,0.00584
1.250,-7.55938E-6
1.275,-0.00592
1.300,-0.00979
1.325,-0.01040
1.350,-0.00756
1.375,-0.00174
1.400,0.00504
1.425,0.00940
1.450,0.01142
1.475,0.00926
1.500,0.00445
1.525,-9.01898E-4
1.550,-0.00560
1.575,-0.00843
1.600,-0.00850
1.625,-0.00579
1.650,-0.00150
1.675,0.00301
1.700,0.00617
1.725,0.00693
1.750,0.00526
1.775,0.00166
1.800,-0.00215
1.825,-0.00513
1.850,-0.00622
1.875,-0.00507
1.900,-0.00216
1.925,0.00130
1.950,0.00410
1.975,0.00519
2.000,0.00420
2.025,0.00164
2.050,-0.00164
2.075,-0.00444
2.100,-0.00570
2.125,-0.00488
2.150,-0.00251
2.175,0.00112
2.200,0.00426
2.225,0.00586
2.250,0.00557
2.275,0.00320
2.300,-5.86677E-4
2.325,-0.00423
2.350,-0.00670
2.375,-0.00693
2.400,-0.00509
2.425,-0.00149
2.450,0.00266
2.475,0.00599
2.500,0.00726
2.525,0.00611
2.550,0.00304
2.575,-9.26001E-4
2.600,-0.00475
2.625,-0.00705
2.650,-0.00711
2.675,-0.00491
